MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nhgrs_qm25,blue,frc1247,frc4929,frc1729,49,12,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,0,3,9,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,34,0,0,0,0,49
2019nhgrs_qm25,red,frc7907,frc1831,frc348,12,49,0,3,2,2,2,0,0,0,2,2,0,0,0,0,3,3,3,1,0,9,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,3,0,9,0,0,0,0,12
2019nhgrs_qm26,blue,frc4987,frc663,frc467,29,58,0,15,2,2,0,0,5,2,2,2,3,0,0,0,3,3,3,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,14,0,0,0,0,29
2019nhgrs_qm26,red,frc811,frc3467,frc95,58,29,0,12,2,5,5,0,5,5,5,5,18,30,0,0,3,3,3,0,3,9,0,5,5,5,16,0,2,2,2,0,2,0,2,2,2,2,2,2,2,3,3,6,3,12,0,43,0,2,0,2,58
2019nhgrs_qm27,blue,frc6895,frc6328,frc6329,53,33,0,12,2,2,2,5,0,0,0,0,15,0,0,0,3,3,0,2,6,6,0,5,5,5,14,2,0,0,2,0,5,0,5,2,2,2,2,2,2,6,3,3,2,12,0,35,0,5,0,5,53
2019nhgrs_qm27,red,frc3958,frc7913,frc1277,33,53,0,6,0,2,2,2,2,2,2,2,0,0,0,0,3,3,3,2,6,9,0,5,5,3,12,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,21,0,0,0,0,33
2019nhgrs_qm28,blue,frc5902,frc7416,frc4958,35,39,0,9,2,2,2,5,5,2,2,2,6,0,0,0,6,3,3,0,0,12,0,5,5,3,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,26,0,0,0,0,35
2019nhgrs_qm28,red,frc1721,frc6691,frc5633,39,35,0,9,0,0,0,2,2,2,2,2,9,0,0,0,3,3,3,0,0,9,0,5,3,5,12,0,5,0,5,0,5,0,2,2,2,2,2,2,2,3,3,6,2,9,0,30,0,0,0,0,39
2019nhgrs_qm29,blue,frc6690,frc4564,frc88,56,60,0,15,5,5,5,5,5,5,2,5,24,0,0,0,3,3,3,1,0,9,0,5,5,5,8,0,0,0,0,5,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,41,2,0,0,0,56
2019nhgrs_qm29,red,frc1519,frc5265,frc1512,60,56,0,9,5,5,5,0,5,5,5,2,18,0,0,0,12,3,3,0,13,18,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,9,0,38,0,0,0,0,60
2019nhgrs_qm3,blue,frc348,frc4905,frc1277,16,39,0,3,0,2,5,2,0,5,2,0,6,0,0,0,0,3,0,1,0,3,0,0,5,0,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,13,0,0,0,0,16
2019nhgrs_qm3,red,frc3467,frc95,frc467,39,16,0,9,5,5,5,2,0,5,5,2,15,0,0,0,0,3,3,0,3,6,0,5,5,3,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,27,0,0,0,0,39
2019nhgrs_qm30,blue,frc2084,frc4761,frc4905,47,40,0,9,5,5,5,5,5,2,2,2,15,0,0,0,0,12,3,0,0,15,30,5,5,5,8,0,0,2,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,9,0,38,0,0,0,0,47
2019nhgrs_qm30,red,frc5687,frc3566,frc131,40,47,0,6,2,2,2,0,2,5,2,2,12,0,0,0,12,0,0,0,0,12,0,5,3,5,10,0,5,0,5,0,2,0,5,2,2,2,2,2,2,3,3,3,0,6,0,34,0,0,0,0,40
2019nhgrs_qm31,blue,frc7416,frc6329,frc1729,43,60,0,9,2,5,5,2,2,2,2,2,6,0,0,0,3,3,12,0,0,18,30,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,34,2,0,0,0,43
2019nhgrs_qm31,red,frc5902,frc95,frc4929,60,43,0,15,5,5,5,0,0,2,5,2,18,0,0,0,3,6,12,0,0,21,30,5,5,5,6,5,0,5,0,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,45,0,0,0,0,60
2019nhgrs_qm32,blue,frc1512,frc1277,frc4564,31,42,0,3,2,2,5,5,5,5,2,2,12,0,0,0,0,0,3,0,9,3,0,3,0,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,3,0,3,0,19,0,0,0,0,31
2019nhgrs_qm32,red,frc88,frc7907,frc3467,42,31,0,12,5,5,5,0,2,5,5,5,18,0,0,0,0,3,3,3,0,6,0,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,30,0,0,0,0,42
2019nhgrs_qm33,blue,frc5633,frc3566,frc6328,35,36,0,15,2,0,0,2,5,0,0,2,3,0,0,0,3,0,3,0,3,6,0,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,17,0,0,0,0,35
2019nhgrs_qm33,red,frc663,frc348,frc3958,36,35,0,3,2,5,5,5,5,2,2,0,12,0,0,0,3,3,3,1,0,9,0,3,3,5,12,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,3,0,33,0,0,0,0,36
2019nhgrs_qm34,blue,frc6690,frc4905,frc1247,29,50,0,9,2,2,5,0,0,2,5,5,9,0,0,0,0,3,3,0,3,6,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,17,0,0,0,2,29
2019nhgrs_qm34,red,frc4761,frc811,frc7913,50,29,0,9,5,0,0,5,5,0,0,0,15,0,0,0,12,3,3,1,0,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,41,0,0,0,0,50
2019nhgrs_qm35,blue,frc2084,frc467,frc5687,69,38,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,1,10,18,30,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,50,0,0,0,0,69
2019nhgrs_qm35,red,frc1831,frc6691,frc6895,38,69,0,12,2,0,0,5,5,0,0,2,6,0,0,0,3,3,3,0,3,9,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,23,0,0,0,0,38
2019nhgrs_qm36,blue,frc4987,frc1721,frc5265,35,55,0,9,2,2,2,0,0,5,5,2,9,0,0,0,3,3,3,0,0,9,0,5,5,3,8,0,2,0,5,0,2,0,2,2,2,2,2,2,2,6,3,3,0,9,0,26,0,0,0,0,35
2019nhgrs_qm36,red,frc131,frc4958,frc1519,55,35,0,9,5,5,5,5,5,5,5,2,21,0,0,0,0,3,12,0,0,15,30,5,3,5,10,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,46,2,0,0,0,55
2019nhgrs_qm37,blue,frc1247,frc811,frc88,53,21,0,9,5,5,5,0,0,5,5,5,27,0,0,0,3,3,3,0,0,9,0,3,5,5,8,5,0,5,0,5,0,2,0,2,2,2,2,2,2,6,3,6,2,9,0,44,0,0,0,0,53
2019nhgrs_qm37,red,frc5902,frc6328,frc4905,21,53,0,6,5,5,2,2,2,2,2,2,6,0,0,0,0,3,0,0,0,3,0,3,5,3,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,15,0,0,0,0,21
2019nhgrs_qm38,blue,frc3467,frc1512,frc467,20,34,0,9,2,5,0,0,0,2,2,2,3,0,0,0,3,0,3,1,0,6,0,5,5,3,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,11,0,0,0,0,20
2019nhgrs_qm38,red,frc7907,frc2084,frc3958,34,20,0,6,5,5,5,2,2,0,0,0,9,0,0,0,3,0,3,0,3,6,0,3,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,25,0,0,0,0,34
2019nhgrs_qm39,blue,frc131,frc1831,frc6691,44,48,0,9,2,2,2,5,5,5,5,5,15,0,0,0,0,3,3,0,6,6,0,5,5,5,8,2,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,0,9,0,29,0,0,0,0,44
2019nhgrs_qm39,red,frc348,frc5687,frc7913,48,44,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,12,3,2,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,36,0,0,0,0,48
2019nhgrs_qm4,blue,frc5687,frc5265,frc4761,36,22,0,6,2,5,5,0,0,0,0,2,15,0,0,0,0,0,3,0,0,3,0,5,0,5,12,5,0,5,0,2,0,5,0,2,2,2,2,2,2,3,3,3,2,6,0,30,2,0,2,0,36
2019nhgrs_qm4,red,frc1721,frc7416,frc1247,22,36,0,6,2,2,2,2,2,2,2,2,0,0,0,0,3,3,6,0,0,6,0,5,5,0,10,0,2,2,0,0,0,0,2,2,2,2,2,2,2,3,3,6,0,6,0,16,0,0,0,0,22
2019nhgrs_qm40,blue,frc4929,frc7416,frc663,46,18,0,6,5,5,5,5,2,5,5,5,24,0,0,0,0,3,3,0,0,6,0,5,5,3,10,2,2,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,40,0,0,0,0,46
2019nhgrs_qm40,red,frc4958,frc6895,frc6690,18,46,0,9,2,5,5,0,0,2,2,2,6,0,0,0,3,0,0,0,0,3,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,9,0,0,0,0,18
2019nhgrs_qm41,blue,frc95,frc6329,frc1519,73,36,0,15,5,5,5,0,0,0,0,0,24,0,0,0,3,3,12,0,0,18,30,5,5,5,16,5,2,5,2,5,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,58,5,0,2,0,73
2019nhgrs_qm41,red,frc4761,frc1721,frc1729,36,73,0,0,2,0,0,0,5,0,0,0,9,0,0,0,12,3,0,0,0,15,30,3,3,0,12,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,3,0,1,0,0,36,0,2,0,0,36
2019nhgrs_qm42,blue,frc5633,frc5265,frc1277,21,31,0,12,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,9,0,0,0,0,21
2019nhgrs_qm42,red,frc3566,frc4987,frc4564,31,21,0,6,2,5,0,5,5,0,5,5,15,0,0,0,0,3,3,0,0,6,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,6,0,25,0,0,0,0,31
2019nhgrs_qm43,blue,frc1831,frc3958,frc5902,31,41,0,12,2,2,2,2,5,2,0,0,3,0,0,0,0,0,0,1,6,0,0,5,5,5,10,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,13,0,0,0,0,31
2019nhgrs_qm43,red,frc348,frc1512,frc7416,41,31,0,15,2,2,2,5,2,5,2,2,6,0,0,0,3,3,3,2,3,9,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,23,0,0,0,0,41
2019nhgrs_qm44,blue,frc7913,frc7907,frc131,35,51,0,9,5,5,5,0,5,5,5,2,18,0,0,0,3,3,0,2,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,26,0,0,0,0,35
2019nhgrs_qm44,red,frc4929,frc467,frc4761,51,35,0,6,2,5,2,5,5,0,5,5,15,0,0,0,3,3,12,0,6,18,30,5,5,3,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,39,0,0,0,0,51
2019nhgrs_qm45,blue,frc1729,frc6690,frc3566,34,38,0,6,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,3,5,4,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,28,0,0,0,0,34
2019nhgrs_qm45,red,frc663,frc4564,frc1721,38,34,0,9,5,5,5,0,5,2,2,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,0,0,0,0,0,2,0,2,2,2,2,2,2,3,3,3,2,9,0,29,2,0,2,0,38
2019nhgrs_qm46,blue,frc6328,frc5687,frc1247,43,39,0,9,2,2,2,0,5,5,5,5,12,0,0,0,3,12,3,3,0,18,30,5,5,3,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,9,0,34,0,0,0,0,43
2019nhgrs_qm46,red,frc4987,frc6895,frc3467,39,43,0,15,2,2,5,0,0,5,5,5,12,0,0,0,0,3,0,0,9,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,15,0,0,0,0,39
2019nhgrs_qm47,blue,frc5265,frc4905,frc6691,47,42,0,6,2,2,2,5,5,5,5,5,15,0,0,0,0,3,3,0,10,6,0,5,3,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,31,0,0,0,0,47
2019nhgrs_qm47,red,frc6329,frc1277,frc811,42,47,0,9,0,0,0,5,5,5,2,2,15,0,0,0,3,3,0,0,0,6,0,5,5,5,12,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,3,3,0,9,1,33,0,2,0,0,42
2019nhgrs_qm48,blue,frc4958,frc88,frc95,54,47,0,15,2,2,5,0,0,5,2,5,12,30,0,0,3,3,3,0,10,9,0,5,5,5,8,0,2,0,2,0,5,0,2,2,2,2,2,2,2,3,6,6,3,15,0,29,0,0,0,0,54
2019nhgrs_qm48,red,frc2084,frc1519,frc5633,47,54,0,15,5,5,5,0,5,2,5,2,15,0,0,0,0,12,3,0,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,1,32,0,0,0,0,47
2019nhgrs_qm49,blue,frc663,frc1247,frc7913,38,62,0,12,2,2,5,0,5,5,5,5,15,0,0,0,3,3,0,0,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,23,0,0,0,0,38
2019nhgrs_qm49,red,frc3467,frc7416,frc5687,62,38,0,9,5,5,5,5,5,5,5,5,27,0,0,0,3,3,12,1,0,18,30,5,5,5,8,2,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,53,0,0,0,0,62
2019nhgrs_qm5,blue,frc88,frc3958,frc4987,64,11,0,15,2,0,0,0,5,5,5,5,18,0,0,0,3,3,0,0,13,6,0,5,5,5,12,2,5,0,5,0,2,0,2,2,2,2,2,2,2,6,3,6,2,15,0,36,0,0,0,0,64
2019nhgrs_qm5,red,frc4929,frc6690,frc2084,11,64,0,3,2,2,2,0,0,2,2,2,0,0,0,0,3,3,0,1,0,6,0,3,3,5,2,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,0,3,1,8,0,0,0,0,11
