MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mawne_qm1,blue,frc195,frc230,frc1099,77,37,0,15,2,2,2,5,0,2,2,2,21,30,30,0,3,12,6,0,0,21,30,5,5,5,20,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,4,15,0,62,5,0,5,0,77
2019mawne_qm1,red,frc228,frc4557,frc7462,37,77,0,9,2,2,0,0,0,0,2,2,3,0,0,0,3,12,0,0,0,15,30,5,5,0,10,0,5,0,0,0,2,0,2,2,2,2,2,2,2,3,6,0,1,9,0,28,0,2,0,2,37
2019mawne_qm10,blue,frc2370,frc839,frc3654,53,30,0,12,2,2,2,0,5,5,5,5,12,0,0,0,12,3,6,0,0,21,30,5,5,5,8,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,41,0,0,0,0,53
2019mawne_qm10,red,frc1699,frc7869,frc4055,30,53,0,15,5,5,5,0,0,2,2,5,12,0,0,0,0,3,0,0,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,15,0,0,0,0,30
2019mawne_qm11,blue,frc195,frc228,frc176,99,41,0,12,5,5,5,5,5,5,5,5,42,30,0,30,12,6,6,0,3,24,30,5,5,5,18,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,4,12,0,84,0,5,0,5,99
2019mawne_qm11,red,frc1071,frc6723,frc7407,41,99,0,12,0,0,0,2,2,2,0,0,6,0,0,0,3,3,3,1,0,9,0,5,5,5,14,0,5,2,5,0,2,0,0,2,2,2,2,2,2,3,6,3,0,12,0,29,0,0,0,0,41
2019mawne_qm12,blue,frc230,frc3654,frc571,90,17,0,15,5,5,5,5,5,2,2,2,33,30,30,0,12,6,3,0,3,21,30,5,5,5,18,5,0,5,2,5,0,5,0,2,2,2,2,2,2,6,6,3,4,15,0,72,5,0,5,0,90
2019mawne_qm12,red,frc155,frc839,frc7153,17,90,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,0,3,1,0,6,0,5,5,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,8,0,0,0,0,17
2019mawne_qm13,blue,frc3634,frc181,frc2064,45,61,0,12,5,5,5,0,5,2,2,2,12,0,0,0,0,6,3,0,6,9,0,3,5,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,0,12,0,27,0,0,0,0,45
2019mawne_qm13,red,frc4557,frc6328,frc178,61,45,0,12,2,5,5,5,5,5,0,5,18,0,0,0,6,3,12,2,0,21,30,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,49,0,0,0,0,61
2019mawne_qm14,blue,frc3461,frc1099,frc4055,64,48,0,15,2,2,5,5,2,5,2,2,9,0,0,0,3,12,3,0,0,18,30,5,5,5,22,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,49,2,0,2,0,64
2019mawne_qm14,red,frc1027,frc2370,frc7462,48,64,0,6,5,5,5,0,5,5,2,5,18,0,0,0,3,12,3,0,0,18,30,5,5,3,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,6,0,42,0,0,0,0,48
2019mawne_qm15,blue,frc3555,frc7694,frc1699,29,29,0,15,2,2,2,0,5,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,14,0,0,0,0,29
2019mawne_qm15,red,frc3464,frc7869,frc7127,29,29,0,12,2,5,5,2,0,5,2,2,9,0,0,0,6,0,0,0,0,6,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,12,0,17,0,0,0,0,29
2019mawne_qm16,blue,frc1071,frc230,frc228,88,52,0,12,5,5,5,5,5,5,5,5,42,30,30,0,3,12,3,0,0,18,30,5,5,5,16,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,3,4,12,0,76,5,0,5,0,88
2019mawne_qm16,red,frc178,frc3461,frc839,52,88,0,12,5,5,5,0,0,5,2,2,12,0,0,0,12,3,3,0,0,18,30,5,5,5,10,0,2,2,0,0,2,0,2,2,2,2,2,2,2,3,6,3,1,12,0,40,0,2,0,0,52
2019mawne_qm17,blue,frc7869,frc6723,frc2064,53,70,0,15,5,5,5,5,0,0,0,5,15,0,0,0,3,6,12,0,0,21,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,38,0,0,0,0,53
2019mawne_qm17,red,frc195,frc7694,frc7407,70,53,0,12,2,5,2,0,5,5,5,5,27,0,0,0,12,3,6,0,0,21,30,5,5,5,10,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,3,12,0,58,0,0,0,0,70
2019mawne_qm18,blue,frc7127,frc1027,frc571,43,59,0,12,5,5,5,5,5,5,5,5,24,0,0,0,0,0,3,0,0,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,31,0,0,0,0,43
2019mawne_qm18,red,frc7462,frc2370,frc3464,59,43,0,9,5,5,5,5,5,5,5,5,24,0,0,0,0,12,6,0,0,18,30,3,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,50,0,0,0,0,59
2019mawne_qm19,blue,frc4055,frc1699,frc155,30,54,0,12,2,2,2,0,0,5,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,3,3,0,12,0,18,0,2,0,0,30
2019mawne_qm19,red,frc176,frc3634,frc4557,54,30,0,9,2,2,2,2,2,0,2,2,6,0,0,0,12,3,6,0,0,21,30,5,3,5,18,0,5,2,5,0,2,0,2,2,2,2,2,2,2,3,3,6,3,9,0,45,0,2,0,2,54
2019mawne_qm2,blue,frc2370,frc155,frc6328,28,60,0,6,2,2,2,0,5,5,5,5,12,0,0,0,3,0,3,0,0,6,0,5,5,3,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,22,0,0,0,0,28
2019mawne_qm2,red,frc7869,frc571,frc1071,60,28,0,15,5,5,5,2,5,5,5,5,30,0,0,0,0,3,0,0,0,3,0,5,5,5,12,5,5,2,5,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,45,0,0,0,0,60
2019mawne_qm20,blue,frc6328,frc3654,frc1099,38,54,0,15,0,0,2,5,5,2,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,23,0,0,0,0,38
2019mawne_qm20,red,frc7153,frc181,frc3555,54,38,0,15,2,2,2,0,0,5,5,5,15,0,0,0,3,12,3,0,0,18,30,5,5,5,6,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,6,6,3,15,0,39,0,0,0,0,54
2019mawne_qm21,blue,frc4557,frc3464,frc230,64,74,0,15,2,2,2,0,5,2,2,0,12,0,0,0,6,3,12,0,0,21,30,5,5,5,16,0,0,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,1,15,0,49,0,2,0,2,64
2019mawne_qm21,red,frc1071,frc2370,frc7127,74,64,0,12,5,5,5,0,5,5,5,5,30,0,0,0,3,12,3,0,0,18,30,5,5,5,14,0,5,2,5,0,2,0,5,2,2,2,2,2,2,6,3,3,3,12,0,62,0,2,0,0,74
2019mawne_qm22,blue,frc176,frc7407,frc1699,65,44,0,12,5,5,5,5,5,5,2,5,27,0,0,0,12,6,0,2,0,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,53,0,0,0,0,65
2019mawne_qm22,red,frc7869,frc839,frc3555,44,65,0,12,5,5,5,0,5,2,2,2,12,0,0,0,3,3,6,0,6,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,26,0,0,0,0,44
2019mawne_qm23,blue,frc6723,frc571,frc155,55,59,0,15,5,2,5,5,2,2,5,2,12,0,0,0,6,3,3,0,0,12,0,5,5,5,16,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,0,15,0,40,0,0,0,2,55
2019mawne_qm23,red,frc6328,frc1027,frc195,59,55,0,12,5,5,5,0,0,5,5,2,21,0,0,0,3,3,12,0,0,18,30,5,5,5,8,5,0,5,0,0,0,2,0,2,2,2,2,2,2,6,3,3,3,12,0,47,0,0,2,0,59
2019mawne_qm24,blue,frc4055,frc228,frc3634,46,49,0,9,2,2,2,5,0,5,2,5,9,0,0,0,3,12,3,0,6,18,30,5,5,3,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,31,0,0,0,0,46
2019mawne_qm24,red,frc7153,frc2064,frc1099,49,46,0,15,5,5,5,5,5,2,5,5,21,0,0,0,3,3,3,2,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,34,0,0,0,0,49
2019mawne_qm25,blue,frc181,frc178,frc3654,70,45,0,15,2,2,5,2,5,5,5,5,15,0,0,0,6,12,6,0,0,24,30,5,5,5,16,2,2,0,2,2,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,55,2,0,0,0,70
