MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019milsu_qm1,blue,frc4392,frc7244,frc4988,32,50,0,9,5,5,5,0,5,5,5,2,18,0,0,0,0,0,3,0,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,23,0,0,0,0,32
2019milsu_qm1,red,frc5534,frc5706,frc3537,50,32,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,3,0,0,0,3,0,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,35,0,0,0,0,50
2019milsu_qm10,blue,frc5314,frc6345,frc4827,41,55,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,26,0,0,0,0,41
2019milsu_qm10,red,frc6558,frc7638,frc5234,55,41,0,9,5,5,5,5,2,5,5,5,21,0,0,0,6,3,6,0,0,15,30,5,3,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,9,0,46,0,0,0,0,55
2019milsu_qm11,blue,frc4392,frc3537,frc5989,53,44,0,15,2,5,5,2,5,5,5,5,18,0,0,0,3,3,3,0,3,9,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,35,0,0,0,0,53
2019milsu_qm11,red,frc141,frc7816,frc5547,44,53,0,15,5,5,5,5,0,2,2,5,18,30,0,0,0,0,3,1,0,3,0,5,5,5,8,5,0,0,0,2,0,2,0,2,2,2,2,2,2,6,6,3,1,15,0,29,0,0,0,0,44
2019milsu_qm12,blue,frc5702,frc4715,frc5878,35,41,0,9,5,5,5,2,0,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,26,0,0,0,0,35
2019milsu_qm12,red,frc6098,frc5072,frc6088,41,35,0,9,2,2,2,5,5,5,0,0,9,0,0,0,3,3,3,0,0,9,0,5,5,3,14,2,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,32,0,0,0,0,41
2019milsu_qm13,blue,frc7250,frc3602,frc5709,34,48,0,9,5,5,5,0,0,5,2,5,18,0,0,0,0,3,0,0,0,3,0,5,5,0,4,5,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,25,0,0,0,0,34
2019milsu_qm13,red,frc6113,frc1596,frc4988,48,34,0,12,5,5,5,5,5,2,2,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,12,0,2,0,2,0,0,2,0,2,2,2,2,2,2,6,3,3,2,12,0,36,0,0,2,0,48
2019milsu_qm14,blue,frc6569,frc2586,frc6573,54,35,0,12,2,2,5,0,5,5,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,6,0,0,0,5,0,0,0,2,2,2,2,2,2,2,3,3,6,3,12,0,42,0,0,0,0,54
2019milsu_qm14,red,frc7150,frc7713,frc5714,35,54,0,15,2,2,2,5,2,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,20,0,0,0,0,35
2019milsu_qm15,blue,frc4392,frc4715,frc857,51,52,0,12,2,5,5,5,2,2,2,2,9,0,0,0,3,3,6,0,0,12,0,5,5,5,18,2,2,2,2,2,0,0,2,2,2,2,2,2,2,3,6,3,0,12,0,39,2,0,0,0,51
2019milsu_qm15,red,frc7782,frc7244,frc5282,52,51,0,15,5,5,5,0,5,5,5,5,24,0,0,0,3,0,6,0,0,9,0,5,5,5,4,0,5,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,37,0,0,0,0,52
2019milsu_qm16,blue,frc6345,frc5706,frc141,57,74,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,0,12,1,0,12,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,42,0,0,0,0,57
2019milsu_qm16,red,frc6113,frc4391,frc4827,74,57,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,12,3,0,3,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,56,0,0,0,0,74
2019milsu_qm17,blue,frc6569,frc7250,frc5547,55,45,0,9,2,2,5,0,5,5,5,5,24,0,0,0,12,0,0,0,0,12,0,5,5,5,10,0,5,0,5,0,2,0,5,2,2,2,2,2,2,3,3,3,2,9,0,46,0,0,0,0,55
2019milsu_qm17,red,frc2586,frc4970,frc5878,45,55,0,12,2,2,2,5,5,5,5,2,12,0,0,0,0,12,3,0,0,15,30,0,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,0,6,6,1,12,0,33,0,0,0,0,45
2019milsu_qm18,blue,frc5486,frc5072,frc5534,31,67,0,9,2,2,0,2,2,0,2,2,0,0,0,0,0,0,3,3,13,3,0,5,0,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,9,0,0,0,0,31
2019milsu_qm18,red,frc6098,frc1596,frc7816,67,31,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,1,9,9,0,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,1,43,0,0,0,0,67
2019milsu_qm19,blue,frc6088,frc4988,frc3537,43,46,0,12,5,5,5,5,5,5,5,5,24,0,0,0,0,0,3,0,0,3,0,5,0,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,31,0,0,0,0,43
2019milsu_qm19,red,frc7713,frc7638,frc5314,46,43,0,15,5,5,5,2,2,2,5,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,3,6,2,15,0,31,0,2,0,0,46
2019milsu_qm2,blue,frc6113,frc5878,frc7250,40,28,0,15,2,5,5,2,2,5,5,5,15,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,25,0,0,0,0,40
2019milsu_qm2,red,frc857,frc4377,frc4827,28,40,0,9,2,2,2,5,5,2,2,2,6,0,0,0,6,3,3,0,0,9,0,5,5,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,19,0,0,0,0,28
2019milsu_qm20,blue,frc7150,frc4377,frc5989,36,66,0,15,2,2,2,2,2,5,5,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,21,0,0,0,0,36
2019milsu_qm20,red,frc4390,frc3602,frc5234,66,36,0,15,5,5,5,5,5,5,2,2,24,0,0,0,3,0,0,0,10,3,0,5,5,5,14,5,0,5,0,2,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,41,0,0,2,0,66
2019milsu_qm21,blue,frc5702,frc6098,frc7244,59,48,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,3,9,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,41,0,0,0,0,59
2019milsu_qm21,red,frc5709,frc6558,frc5547,48,59,0,15,5,5,5,0,0,2,2,2,9,0,0,0,3,6,3,1,0,12,0,5,5,5,12,2,0,2,0,2,0,2,0,2,2,2,2,2,2,6,6,3,0,15,0,33,2,0,2,0,48
2019milsu_qm22,blue,frc6088,frc7782,frc4715,52,42,0,15,5,5,5,5,0,5,5,5,21,0,0,0,6,3,3,0,0,12,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,37,0,0,0,0,52
2019milsu_qm22,red,frc2586,frc5706,frc6113,42,52,0,15,2,2,2,5,0,5,5,5,12,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,27,0,0,0,0,42
2019milsu_qm23,blue,frc5072,frc5282,frc141,68,43,0,15,5,5,5,5,5,5,5,5,27,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,53,0,0,0,0,68
2019milsu_qm23,red,frc5534,frc5314,frc4988,43,68,0,15,5,5,5,5,5,2,2,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,28,0,0,0,0,43
2019milsu_qm24,blue,frc7816,frc7713,frc4377,24,48,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,3,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,6,0,9,0,15,0,0,0,2,24
2019milsu_qm24,red,frc6345,frc857,frc5714,48,24,0,15,5,5,5,2,5,2,2,2,15,0,0,0,3,6,3,0,0,12,0,5,5,5,6,5,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,33,0,0,0,0,48
2019milsu_qm25,blue,frc6558,frc5989,frc6569,66,45,0,15,5,5,5,5,0,5,5,2,21,0,0,0,6,6,12,0,0,24,30,5,5,5,6,5,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,51,0,0,0,0,66
2019milsu_qm25,red,frc5486,frc5878,frc3537,45,66,0,15,5,5,5,2,5,5,5,5,21,0,0,0,0,0,3,0,0,3,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,30,0,0,0,0,45
2019milsu_qm26,blue,frc1596,frc4390,frc7638,52,33,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,10,0,0,0,2,2,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,40,2,0,0,0,52
2019milsu_qm26,red,frc6573,frc4827,frc5709,33,52,0,15,2,2,5,5,2,2,2,2,6,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,18,0,0,0,0,33
2019milsu_qm27,blue,frc7250,frc4970,frc7150,37,61,0,15,5,5,5,2,5,2,2,2,12,0,0,0,3,0,3,1,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,22,0,0,0,0,37
2019milsu_qm27,red,frc4391,frc4392,frc5702,61,37,0,12,5,5,5,0,5,5,5,5,21,0,0,0,12,3,0,0,3,15,30,5,5,5,10,0,0,2,0,0,2,0,0,2,2,2,2,2,2,3,3,6,3,12,0,46,0,2,0,2,61
2019milsu_qm28,blue,frc5486,frc3602,frc6569,70,59,0,12,5,5,5,5,5,5,5,5,30,0,0,0,3,3,12,0,0,18,30,5,5,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,58,0,0,0,0,70
2019milsu_qm28,red,frc5234,frc5878,frc5282,59,70,-1,15,5,5,5,5,0,5,5,5,24,0,0,0,6,3,6,0,0,15,30,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,45,0,0,0,0,59
2019milsu_qm29,blue,frc6098,frc5534,frc7638,55,38,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,0,0,6,0,5,5,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,40,0,0,0,0,55
2019milsu_qm29,red,frc5714,frc7782,frc4390,38,55,0,15,2,2,2,0,2,5,2,5,6,0,0,0,3,3,3,0,0,9,0,5,5,5,8,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,23,0,0,0,0,38
2019milsu_qm3,blue,frc5709,frc4391,frc7713,58,50,0,15,5,5,5,5,2,5,5,2,18,0,0,0,0,3,3,0,3,6,0,5,5,5,16,2,0,2,2,0,2,0,2,2,2,2,2,2,2,6,3,6,2,15,0,40,0,0,0,2,58
