MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019wamou_qm1,blue,frc4173,frc5683,frc4309,33,51,0,6,0,0,2,0,0,0,2,5,9,0,0,0,0,3,3,0,0,6,0,3,5,5,12,5,0,5,0,2,0,2,0,2,2,2,2,2,2,6,3,3,0,6,0,27,2,0,0,0,33
2019wamou_qm1,red,frc4683,frc2910,frc2903,51,33,0,9,5,5,5,5,0,0,0,0,18,0,0,0,3,12,0,0,0,12,0,0,5,5,12,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,42,0,0,0,0,51
2019wamou_qm10,blue,frc2903,frc2147,frc3786,27,40,0,12,0,0,0,0,2,2,0,0,0,0,0,0,3,3,0,0,3,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,12,0,0,0,0,27
2019wamou_qm10,red,frc4173,frc2928,frc4512,40,27,0,15,0,2,5,0,0,0,2,5,12,0,0,0,3,3,3,1,0,9,0,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,25,0,0,0,0,40
2019wamou_qm11,blue,frc4089,frc3219,frc2980,31,65,0,15,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,6,0,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,16,0,0,0,0,31
2019wamou_qm11,red,frc2930,frc949,frc1318,65,31,0,6,5,5,5,5,5,5,5,5,30,0,0,0,12,3,3,0,0,15,30,5,0,5,14,0,5,2,5,0,0,2,0,2,2,2,2,2,2,3,3,3,3,6,0,59,0,0,2,0,65
2019wamou_qm12,blue,frc360,frc4682,frc3663,51,29,0,15,5,5,5,0,0,5,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,36,0,0,0,0,51
2019wamou_qm12,red,frc4683,frc4469,frc3786,29,51,0,9,0,2,2,0,0,0,0,0,3,0,0,0,3,6,3,0,0,9,0,0,5,5,8,5,0,0,0,2,0,2,0,2,2,2,2,2,2,6,6,3,0,9,0,20,2,0,0,0,29
2019wamou_qm13,blue,frc4579,frc4180,frc1778,28,36,0,12,2,0,0,5,0,2,0,2,3,0,0,0,3,3,3,2,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,16,0,0,0,0,28
2019wamou_qm13,red,frc2903,frc3219,frc1983,36,28,0,15,0,0,0,0,0,5,2,2,3,0,0,0,3,0,3,0,6,6,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,15,0,0,0,0,36
2019wamou_qm14,blue,frc1318,frc3812,frc5683,41,25,0,12,2,2,2,0,0,5,5,5,12,0,0,0,0,3,3,1,3,6,0,5,5,5,8,5,0,0,2,0,2,0,2,2,2,2,2,2,2,3,6,3,2,12,0,26,0,0,0,0,41
2019wamou_qm14,red,frc7627,frc3049,frc3238,25,41,0,12,0,0,2,0,0,0,0,2,0,0,0,0,3,0,3,1,3,6,0,5,5,5,4,0,0,0,0,0,0,2,0,2,2,2,2,2,2,3,3,6,0,12,0,10,0,0,0,0,25
2019wamou_qm15,blue,frc5803,frc3268,frc2980,51,47,0,15,2,2,2,0,2,2,2,2,6,0,0,0,12,3,3,0,0,18,30,5,5,5,12,0,0,5,0,2,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,36,5,0,2,0,51
2019wamou_qm15,red,frc2605,frc360,frc2930,47,51,0,9,2,2,2,2,5,5,5,5,12,0,0,0,0,12,6,0,0,18,30,3,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,9,0,38,0,0,0,0,47
2019wamou_qm16,blue,frc2910,frc2147,frc4512,78,23,0,12,0,2,2,2,5,5,5,2,9,0,0,0,12,3,0,0,18,15,30,5,5,0,24,2,2,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,3,12,0,48,0,0,0,2,78
2019wamou_qm16,red,frc4683,frc3826,frc4089,23,78,0,9,0,5,0,0,0,0,0,0,3,0,0,0,3,3,3,6,0,9,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,14,0,0,0,0,23
2019wamou_qm17,blue,frc4173,frc5295,frc4513,29,49,0,9,2,5,5,2,0,5,5,2,12,0,0,0,3,0,3,0,0,6,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,20,0,0,0,0,29
2019wamou_qm17,red,frc949,frc2928,frc4309,49,29,0,9,0,0,0,5,5,5,5,5,18,0,0,0,3,12,0,0,0,12,0,0,5,5,10,2,5,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,40,0,0,0,0,49
2019wamou_qm18,blue,frc2605,frc2910,frc3219,41,49,0,9,0,5,5,5,5,2,0,0,12,0,0,0,3,3,3,2,3,9,0,3,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,29,0,0,0,0,41
2019wamou_qm18,red,frc1983,frc1318,frc3238,49,41,0,15,2,2,5,5,0,5,5,5,15,0,0,0,0,0,3,1,6,3,0,5,5,5,10,0,2,0,2,0,2,0,0,2,2,2,2,2,2,6,3,6,2,15,0,28,0,2,0,0,49
2019wamou_qm19,blue,frc4309,frc4683,frc4682,30,23,0,6,2,2,5,5,5,2,2,2,9,0,0,0,0,0,3,0,0,3,0,5,3,5,12,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,6,0,24,0,0,0,0,30
2019wamou_qm19,red,frc7627,frc4579,frc4513,23,30,0,6,0,0,0,2,5,0,0,2,3,0,0,0,3,0,3,0,0,6,0,5,3,5,8,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,17,0,0,0,0,23
2019wamou_qm2,blue,frc1778,frc4469,frc1983,50,30,0,15,2,5,2,0,0,2,2,2,6,0,0,0,3,3,3,0,10,9,0,5,5,5,10,0,5,0,2,0,2,0,2,2,2,2,2,2,2,3,6,6,2,15,0,25,0,0,0,2,50
2019wamou_qm2,red,frc2147,frc4089,frc7627,30,50,0,9,5,2,2,2,2,2,0,0,3,0,0,0,3,3,3,0,0,6,0,5,5,0,12,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,1,21,0,0,0,0,30
2019wamou_qm20,blue,frc4469,frc5803,frc949,36,36,0,12,5,5,5,2,0,2,0,5,12,0,0,0,3,0,0,0,3,3,0,5,5,0,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,0,1,12,0,21,0,0,0,0,36
2019wamou_qm20,red,frc1778,frc2147,frc3268,36,36,0,15,0,2,0,2,0,5,5,2,6,0,0,0,0,6,3,1,0,9,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,21,0,0,0,0,36
2019wamou_qm21,blue,frc4173,frc4089,frc3049,27,50,0,12,0,0,0,0,0,0,5,2,3,0,0,0,3,3,3,0,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,12,0,0,0,0,27
2019wamou_qm21,red,frc4512,frc2930,frc4180,50,27,0,9,5,5,5,2,0,5,5,5,18,0,0,0,0,12,3,1,0,15,30,5,5,3,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,3,6,3,9,0,41,0,2,0,0,50
2019wamou_qm22,blue,frc360,frc3812,frc2903,33,34,0,15,5,0,0,0,0,0,0,2,3,0,0,0,12,3,0,0,0,15,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,18,0,0,0,0,33
2019wamou_qm22,red,frc3826,frc2928,frc5295,34,33,0,12,0,0,0,2,2,2,2,2,6,0,0,0,3,3,0,0,0,6,0,5,5,0,10,5,0,5,0,2,0,0,0,2,2,2,2,2,2,6,6,0,2,12,0,22,0,0,0,0,34
2019wamou_qm23,blue,frc3663,frc3786,frc1318,32,52,0,12,2,5,5,5,0,2,2,2,9,0,0,0,3,3,3,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,20,0,0,0,0,32
2019wamou_qm23,red,frc2147,frc2980,frc5683,52,32,0,15,2,5,2,2,0,0,0,0,9,0,0,0,6,0,3,0,3,9,0,5,5,5,16,5,2,5,0,2,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,34,0,0,0,0,52
2019wamou_qm24,blue,frc3826,frc4173,frc4469,36,24,0,15,2,2,5,0,5,2,2,2,9,0,0,0,3,0,3,0,0,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,21,0,0,0,5,36
2019wamou_qm24,red,frc3268,frc4579,frc5295,24,36,0,3,2,5,5,5,5,2,0,0,12,0,0,0,0,3,0,0,0,3,0,0,5,0,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,3,0,21,0,0,0,0,24
2019wamou_qm25,blue,frc2980,frc3049,frc2903,16,20,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,4,0,0,0,0,16
2019wamou_qm25,red,frc2605,frc3812,frc4683,20,16,0,9,2,0,0,0,2,2,2,2,0,0,0,0,3,3,0,0,3,6,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,0,2,9,0,8,0,0,0,0,20
2019wamou_qm26,blue,frc2910,frc3786,frc360,65,18,0,12,0,0,0,2,2,5,2,2,9,0,0,0,12,0,6,0,10,18,30,5,5,5,16,5,0,5,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,43,0,0,0,0,65
2019wamou_qm26,red,frc4180,frc949,frc4089,18,65,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,12,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,1,12,0,0,0,0,18
2019wamou_qm27,blue,frc1983,frc4512,frc7627,42,52,0,15,2,2,2,0,0,5,5,5,9,0,0,0,12,3,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,27,0,0,0,0,42
2019wamou_qm27,red,frc5803,frc4309,frc3663,52,42,0,12,0,0,0,2,5,5,5,5,12,0,0,0,12,3,3,0,0,18,30,5,5,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,40,0,0,0,0,52
2019wamou_qm28,blue,frc2930,frc1778,frc2928,48,34,0,12,2,2,2,0,5,5,5,5,15,0,0,0,3,3,3,1,6,9,0,5,5,5,6,2,0,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,30,0,0,0,0,48
2019wamou_qm28,red,frc4513,frc5683,frc4682,34,48,0,6,2,2,2,0,5,0,5,2,6,0,0,0,3,3,3,2,3,9,0,5,3,5,10,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,3,3,0,6,0,25,0,0,0,0,34
2019wamou_qm29,blue,frc3238,frc3826,frc5803,52,18,0,15,0,0,0,0,5,0,2,0,6,0,0,0,3,3,12,0,3,18,30,5,5,5,10,0,5,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,3,15,0,34,0,0,0,0,52
2019wamou_qm29,red,frc3219,frc3786,frc949,18,52,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,5,5,0,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,9,0,9,0,0,0,0,18
2019wamou_qm3,blue,frc2930,frc5803,frc3219,26,19,0,12,2,2,0,0,5,0,5,2,6,0,0,0,0,3,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,1,14,0,0,0,0,26
2019wamou_qm3,red,frc3049,frc4682,frc3812,19,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,3,0,0,0,0,19
2019wamou_qm30,blue,frc4513,frc2980,frc2928,45,50,0,15,5,5,5,0,0,2,2,2,15,0,0,0,3,3,0,0,3,6,0,5,5,5,6,0,5,0,5,0,0,0,2,2,2,2,2,2,2,3,6,6,0,15,0,27,0,0,0,0,45
2019wamou_qm30,red,frc4469,frc4309,frc360,50,45,0,15,2,2,2,0,5,0,2,0,9,0,0,0,3,3,12,1,0,18,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,35,0,0,0,0,50
2019wamou_qm31,blue,frc4579,frc3049,frc1983,53,52,0,12,5,5,5,5,5,2,0,0,15,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,41,0,0,0,0,53
2019wamou_qm31,red,frc4089,frc4512,frc3812,52,53,0,15,2,0,0,0,0,5,5,5,9,0,0,0,12,3,3,0,0,18,30,5,5,5,10,0,2,2,0,0,2,2,0,2,2,2,2,2,2,3,6,6,1,15,0,37,0,2,0,0,52
