MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mimus_qm1,blue,frc6100,frc4376,frc4337,42,27,0,12,2,5,2,2,0,2,2,2,3,0,0,0,6,12,3,0,0,21,30,5,5,5,6,0,0,0,0,2,0,2,0,2,2,2,2,2,2,3,3,6,3,12,0,30,0,0,0,0,42
2019mimus_qm1,red,frc3546,frc6098,frc6582,27,42,0,15,2,2,2,0,0,5,5,5,9,0,0,0,3,0,0,0,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,12,0,0,0,0,27
2019mimus_qm10,blue,frc6097,frc7602,frc3458,26,41,0,9,5,0,0,2,0,0,0,5,6,0,0,0,3,0,3,0,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,14,0,0,0,0,26
2019mimus_qm10,red,frc6582,frc7689,frc7054,41,26,0,12,5,5,5,0,5,5,5,2,18,0,0,0,6,0,3,1,0,9,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,12,0,29,0,0,0,0,41
2019mimus_qm11,blue,frc6065,frc3618,frc6090,61,30,0,15,2,5,5,5,5,5,5,5,27,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,5,0,5,0,0,0,2,2,2,2,2,2,2,6,3,6,2,15,0,46,0,0,0,0,61
2019mimus_qm11,red,frc858,frc5247,frc3572,30,61,0,6,2,0,2,2,5,5,2,2,6,0,0,0,0,0,12,0,0,12,0,5,3,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,24,0,0,0,0,30
2019mimus_qm12,blue,frc4376,frc2405,frc5860,56,41,0,12,5,5,2,5,5,5,5,2,18,0,0,0,12,3,3,0,0,18,30,3,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,12,0,44,0,0,0,0,56
2019mimus_qm12,red,frc6561,frc6020,frc3603,41,56,0,9,2,2,2,0,5,5,5,5,12,0,0,0,3,3,6,0,0,12,0,5,5,5,8,0,2,0,2,0,2,0,0,2,2,2,2,2,2,3,3,3,0,9,0,32,0,0,0,0,41
2019mimus_qm13,blue,frc4398,frc1711,frc6128,21,32,0,9,2,2,2,0,0,2,5,2,3,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,12,0,0,0,0,21
2019mimus_qm13,red,frc4337,frc6005,frc3546,32,21,0,12,2,2,2,0,0,2,2,2,0,0,0,0,3,3,12,0,0,18,30,5,3,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,12,0,20,0,0,0,0,32
2019mimus_qm14,blue,frc6098,frc858,frc7689,15,53,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,1,9,0,0,0,0,15
2019mimus_qm14,red,frc6074,frc7160,frc6090,53,15,0,15,2,5,5,0,0,5,5,5,15,0,0,0,3,0,6,0,10,9,0,5,5,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,28,0,0,0,0,53
2019mimus_qm15,blue,frc3572,frc6100,frc7054,56,39,0,9,5,5,5,5,5,5,5,2,21,0,0,0,12,6,0,0,0,18,30,5,3,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,47,0,0,0,0,56
2019mimus_qm15,red,frc7790,frc5114,frc4967,39,56,0,9,2,2,2,0,0,5,2,2,6,0,0,0,3,3,12,0,0,18,30,3,5,5,6,0,5,0,0,0,2,2,0,2,2,2,2,2,2,3,6,3,1,9,0,30,0,0,0,0,39
2019mimus_qm16,blue,frc5247,frc3603,frc5860,38,41,0,12,2,2,5,0,5,5,5,5,15,0,0,0,0,6,3,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,26,0,0,0,0,38
2019mimus_qm16,red,frc6122,frc6065,frc3546,41,38,0,9,5,5,5,0,0,2,2,2,9,0,0,0,3,3,12,0,3,18,30,5,3,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,29,0,0,0,0,41
2019mimus_qm17,blue,frc6020,frc4337,frc7810,45,33,0,15,0,0,0,2,2,5,5,2,6,0,0,0,12,3,3,0,0,18,30,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,30,0,0,0,0,45
2019mimus_qm17,red,frc4376,frc7602,frc6005,33,45,0,3,2,2,2,5,2,5,2,2,6,0,0,0,12,3,3,0,0,18,30,3,5,3,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,3,0,30,0,0,0,0,33
2019mimus_qm18,blue,frc7855,frc6561,frc6128,34,61,0,12,2,2,2,0,0,5,2,2,3,0,0,0,3,0,3,4,13,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,9,0,0,0,0,34
2019mimus_qm18,red,frc2405,frc1711,frc3767,61,34,0,12,2,2,5,5,5,5,5,5,24,0,0,0,0,3,0,1,12,3,0,5,5,5,10,5,2,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,1,37,0,0,0,0,61
2019mimus_qm19,blue,frc4956,frc6582,frc6097,29,24,0,15,2,2,2,0,5,2,2,2,3,0,0,0,3,3,3,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,14,0,0,0,0,29
2019mimus_qm19,red,frc7794,frc4398,frc6094,24,29,0,6,2,2,2,0,0,5,5,2,6,0,0,0,3,3,3,0,3,9,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,15,0,0,0,0,24
2019mimus_qm2,blue,frc4004,frc7855,frc7794,29,21,0,9,2,2,2,0,5,5,5,5,12,0,0,0,0,3,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,20,0,0,0,0,29
2019mimus_qm2,red,frc7689,frc4398,frc6065,21,29,0,6,0,2,5,0,0,5,2,0,6,0,0,0,3,3,3,0,0,9,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,15,0,0,0,0,21
2019mimus_qm20,blue,frc4004,frc3618,frc7160,36,19,0,12,2,2,5,0,0,5,5,5,12,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,6,2,12,0,24,0,2,0,2,36
2019mimus_qm20,red,frc7790,frc5860,frc3458,19,36,0,9,2,2,0,2,2,0,2,2,0,0,0,0,3,3,0,0,0,6,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,10,0,0,0,0,19
2019mimus_qm21,blue,frc6074,frc7855,frc1711,33,56,0,12,2,5,5,0,0,5,5,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,1,21,0,0,0,0,33
2019mimus_qm21,red,frc5247,frc6090,frc7602,56,33,0,12,5,5,5,5,5,2,2,2,15,0,0,0,3,3,3,0,10,9,0,5,5,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,34,0,0,0,0,56
2019mimus_qm22,blue,frc4376,frc6020,frc6097,50,44,0,12,2,5,5,0,5,2,5,5,15,0,0,0,3,6,3,0,3,12,0,5,5,5,8,2,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,6,2,12,0,35,0,0,0,0,50
2019mimus_qm22,red,frc6100,frc3767,frc4398,44,50,0,9,2,5,5,0,0,5,5,5,15,0,0,0,12,3,3,1,0,18,30,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,35,0,0,0,0,44
2019mimus_qm23,blue,frc3603,frc6098,frc7810,37,43,0,9,0,0,0,5,0,5,5,5,12,0,0,0,6,3,3,1,0,12,0,5,3,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,28,0,0,0,0,37
2019mimus_qm23,red,frc3458,frc6094,frc2405,43,37,0,15,0,2,5,0,0,5,5,5,12,0,0,0,3,3,3,0,3,9,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,25,0,0,0,0,43
2019mimus_qm24,blue,frc3546,frc4004,frc4956,65,36,0,12,2,5,5,5,5,5,5,5,27,0,0,0,12,3,3,0,0,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,53,0,0,0,0,65
2019mimus_qm24,red,frc858,frc6561,frc6582,36,65,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,27,0,0,0,0,36
2019mimus_qm25,blue,frc6005,frc7794,frc6065,33,23,0,12,5,5,5,0,0,2,2,5,12,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,21,0,0,0,0,33
2019mimus_qm25,red,frc3618,frc7054,frc6122,23,33,0,12,2,2,2,0,2,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,11,0,0,0,0,23
2019mimus_qm26,blue,frc5114,frc7689,frc6128,21,53,0,12,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,9,0,0,0,0,21
2019mimus_qm26,red,frc4967,frc3572,frc4337,53,21,0,12,2,2,2,5,5,5,5,5,21,0,0,0,6,3,3,0,0,12,0,5,5,5,8,0,0,0,0,0,5,0,5,2,2,2,2,2,2,3,3,6,2,12,0,41,0,0,0,0,53
2019mimus_qm27,blue,frc3767,frc5247,frc6074,29,40,0,12,2,2,2,0,5,2,5,5,9,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,17,0,0,0,0,29
2019mimus_qm27,red,frc6020,frc6582,frc4004,40,29,0,9,2,2,5,5,5,5,2,5,15,0,0,0,6,3,3,0,0,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,31,0,0,0,0,40
2019mimus_qm28,blue,frc6090,frc3546,frc7790,66,25,0,15,5,5,5,5,5,2,5,2,18,0,0,0,6,12,3,0,0,21,30,5,5,5,12,2,2,0,2,2,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,51,0,0,0,0,66
2019mimus_qm28,red,frc5860,frc6097,frc4398,25,66,0,9,5,5,5,0,0,2,2,2,9,0,0,0,0,0,3,0,0,3,0,3,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,16,0,0,0,0,25
2019mimus_qm29,blue,frc7602,frc7689,frc6561,11,27,0,3,2,2,2,0,0,2,2,2,0,0,0,0,3,0,3,0,0,6,0,3,5,3,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,3,0,8,0,0,0,0,11
2019mimus_qm29,red,frc6094,frc4376,frc3618,27,11,0,9,5,5,5,0,0,5,2,2,12,0,0,0,3,0,3,0,0,6,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,18,0,0,0,0,27
2019mimus_qm3,blue,frc6020,frc7790,frc6122,18,29,0,6,2,2,2,2,2,2,2,2,3,0,0,0,3,0,0,0,0,3,0,5,5,3,6,0,0,0,0,5,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,12,0,0,0,0,18
2019mimus_qm3,red,frc3603,frc6094,frc858,29,18,0,12,2,2,5,2,0,2,2,2,3,0,0,0,6,3,3,0,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,17,0,0,0,0,29
2019mimus_qm30,blue,frc1711,frc4967,frc3603,42,21,0,6,5,5,5,0,5,2,2,2,12,0,0,0,0,12,6,0,0,18,30,3,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,36,0,0,0,0,42
2019mimus_qm30,red,frc6122,frc6128,frc6005,21,42,0,9,2,2,2,0,0,5,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,12,0,0,0,0,21
2019mimus_qm31,blue,frc858,frc6100,frc2405,30,45,0,6,2,2,2,0,0,5,5,5,9,0,0,0,3,12,0,0,0,15,30,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,6,0,24,0,0,0,0,30
2019mimus_qm31,red,frc7794,frc4337,frc7160,45,30,0,15,0,0,0,5,5,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,30,0,0,0,0,45
2019mimus_qm32,blue,frc5114,frc7855,frc6065,52,33,0,15,5,5,5,0,0,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,4,5,0,0,0,5,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,37,0,0,0,0,52
2019mimus_qm32,red,frc4956,frc6098,frc3458,33,52,0,9,2,2,2,2,5,5,2,2,6,0,0,0,6,3,3,0,0,12,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,24,0,0,0,0,33
2019mimus_qm33,blue,frc7054,frc7810,frc7790,33,48,0,15,2,2,2,2,2,5,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,18,0,0,0,0,33
2019mimus_qm33,red,frc3572,frc6074,frc6561,48,33,0,15,5,5,5,0,0,5,5,2,15,0,0,0,12,3,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,33,0,0,0,0,48
2019mimus_qm34,blue,frc6100,frc6094,frc5247,50,18,0,12,5,5,5,0,5,5,5,2,18,0,0,0,12,3,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,38,0,0,0,0,50
2019mimus_qm34,red,frc4398,frc6005,frc858,18,50,0,6,2,2,5,0,0,5,2,2,6,0,0,0,0,3,3,0,0,6,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,12,0,0,0,0,18
2019mimus_qm35,blue,frc7160,frc6020,frc7855,57,34,0,12,2,5,5,5,0,5,5,5,21,0,0,0,3,12,3,0,0,18,30,5,5,5,6,2,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,45,0,0,0,0,57
2019mimus_qm35,red,frc3618,frc6097,frc4967,34,57,0,12,2,2,5,0,5,5,5,2,12,0,0,0,0,3,3,0,0,6,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,22,0,0,0,0,34
2019mimus_qm36,blue,frc3572,frc3458,frc3767,58,52,0,9,5,5,5,5,5,5,5,5,24,0,0,0,12,0,3,0,0,15,30,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,49,0,0,0,0,58
2019mimus_qm36,red,frc1711,frc6065,frc4337,52,58,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,37,0,0,0,0,52
2019mimus_qm37,blue,frc6128,frc6582,frc7810,29,56,0,9,2,2,5,5,0,5,2,5,12,0,0,0,0,3,3,3,0,6,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,20,0,0,0,0,29
2019mimus_qm37,red,frc6090,frc7054,frc5860,56,29,0,15,2,2,2,0,5,5,5,5,18,0,0,0,0,3,3,0,9,6,0,5,5,5,8,0,5,2,5,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,32,0,0,0,0,56
2019mimus_qm38,blue,frc7689,frc3546,frc2405,53,43,0,12,5,5,5,0,0,2,5,2,12,0,0,0,0,12,3,0,10,15,30,0,5,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,12,0,31,0,0,0,0,53
2019mimus_qm38,red,frc7602,frc6122,frc4956,43,53,0,9,5,5,5,0,5,5,5,5,21,0,0,0,3,0,6,0,0,9,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,1,34,0,0,0,0,43
2019mimus_qm39,blue,frc6098,frc7794,frc5114,30,61,0,12,5,5,5,0,0,5,5,2,15,0,0,0,0,3,0,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,18,0,0,0,0,30
2019mimus_qm39,red,frc3603,frc4376,frc4004,61,30,0,9,2,2,2,5,5,5,5,5,21,0,0,0,6,12,3,0,0,21,30,5,5,5,10,5,2,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,52,0,0,0,0,61
2019mimus_qm4,blue,frc7810,frc5860,frc6074,24,24,0,6,5,5,2,2,2,2,2,2,6,0,0,0,3,3,0,0,0,6,0,3,5,3,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,6,0,18,0,0,0,0,24
2019mimus_qm4,red,frc7160,frc5114,frc1711,24,24,0,6,5,5,5,0,0,5,5,5,18,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,6,0,18,0,0,0,0,24
2019mimus_qm40,blue,frc6561,frc3458,frc3618,37,28,0,12,5,5,5,5,2,2,2,2,12,0,0,0,3,3,0,0,3,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,22,0,0,0,0,37
2019mimus_qm40,red,frc6582,frc4337,frc4398,28,37,0,12,5,5,5,2,2,2,2,2,9,0,0,0,0,3,0,1,0,3,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,16,0,0,0,0,28
2019mimus_qm41,blue,frc5860,frc858,frc6020,54,20,0,12,2,5,5,5,5,5,5,2,21,0,0,0,3,0,12,0,0,15,30,5,5,5,6,0,0,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,42,0,0,0,0,54
2019mimus_qm41,red,frc7810,frc1711,frc7689,20,54,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,3,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,11,0,0,0,0,20
2019mimus_qm42,blue,frc4967,frc6100,frc6122,32,38,0,6,5,5,5,0,0,5,5,2,15,0,0,0,3,3,0,3,3,6,0,5,5,3,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,23,0,0,0,0,32
2019mimus_qm42,red,frc7602,frc6074,frc6098,38,32,0,12,2,2,2,2,2,2,2,2,0,0,0,0,3,3,3,1,9,9,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,17,0,0,0,0,38
2019mimus_qm43,blue,frc2405,frc7790,frc4956,61,33,0,12,5,5,5,5,5,5,5,2,24,0,0,0,3,3,3,0,0,9,0,5,5,5,16,2,0,5,2,2,0,2,0,2,2,2,2,2,2,6,3,3,2,12,0,49,0,0,2,0,61
2019mimus_qm43,red,frc7794,frc5247,frc4376,33,61,0,9,2,2,0,2,2,2,2,2,0,0,0,0,3,3,12,0,0,18,30,3,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,9,0,24,0,0,0,0,33
