MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019milak_qm1,blue,frc6556,frc5708,frc4327,22,28,0,9,2,2,5,2,2,2,2,2,3,0,0,0,0,0,0,0,6,0,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,7,0,0,0,0,22
2019milak_qm1,red,frc7209,frc5685,frc5227,28,22,0,6,2,5,5,5,0,2,2,2,9,0,0,0,3,3,3,2,0,9,0,3,3,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,6,0,22,0,0,0,0,28
2019milak_qm10,blue,frc5676,frc6002,frc5685,52,28,0,9,2,2,5,0,2,5,5,2,15,0,0,0,3,12,3,3,0,18,30,5,5,3,10,5,0,5,0,0,0,0,2,2,2,2,2,2,2,6,3,3,3,9,0,43,0,0,0,2,52
2019milak_qm10,red,frc7219,frc6053,frc4482,28,52,0,9,2,2,2,2,2,2,2,2,0,0,0,0,3,3,0,0,9,6,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,10,0,0,0,0,28
2019milak_qm11,blue,frc4568,frc7911,frc5674,41,16,0,15,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,0,0,6,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,26,0,0,0,0,41
2019milak_qm11,red,frc830,frc5708,frc7203,16,41,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,6,0,5,0,3,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,10,0,0,0,0,16
2019milak_qm12,blue,frc6092,frc4381,frc1918,41,48,0,6,2,2,5,0,5,2,2,2,9,0,0,0,3,3,12,0,0,18,30,3,5,5,8,0,2,0,5,0,0,0,2,2,2,2,2,2,2,3,3,3,1,6,0,35,0,0,0,0,41
2019milak_qm12,red,frc4453,frc2054,frc5256,48,41,0,15,2,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,5,0,2,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,0,33,0,0,0,0,48
2019milak_qm13,blue,frc5501,frc7794,frc7811,32,21,0,9,2,2,2,0,5,5,2,2,6,0,0,0,12,3,0,0,0,15,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,9,0,23,0,0,0,0,32
2019milak_qm13,red,frc5559,frc6137,frc6138,21,32,0,6,2,5,5,0,0,2,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,15,0,0,0,0,21
2019milak_qm14,blue,frc5205,frc4482,frc4327,33,39,0,9,5,5,5,0,0,5,5,2,15,0,0,0,3,0,0,0,0,3,0,5,5,3,6,0,0,2,0,2,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,24,2,0,0,0,33
2019milak_qm14,red,frc830,frc4408,frc6556,39,33,0,9,2,0,5,5,2,2,0,2,6,0,0,0,12,3,3,0,0,18,30,5,3,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,30,0,0,0,0,39
2019milak_qm15,blue,frc7203,frc3658,frc5685,22,9,0,0,0,0,0,5,2,0,2,0,3,0,0,0,0,0,3,0,10,3,0,3,3,3,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,0,0,12,0,0,0,0,22
2019milak_qm15,red,frc5708,frc7144,frc6150,9,22,0,6,2,2,2,0,0,2,2,2,0,0,0,0,0,3,0,0,0,3,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,1,3,0,0,0,0,9
2019milak_qm16,blue,frc6002,frc6092,frc7223,29,49,0,3,5,5,5,0,0,2,2,2,15,0,0,0,3,0,0,0,0,3,0,5,3,3,8,0,0,0,0,5,0,5,0,2,2,2,2,2,2,3,3,3,0,3,0,26,2,0,2,0,29
2019milak_qm16,red,frc4568,frc5227,frc5501,49,29,0,9,5,5,5,5,0,5,2,2,15,0,0,0,3,6,12,0,0,21,30,5,3,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,40,0,0,0,0,49
2019milak_qm17,blue,frc5710,frc7219,frc6138,36,31,0,15,0,2,5,0,0,2,2,2,3,0,0,0,6,3,3,0,0,12,0,5,5,5,6,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,21,0,0,0,0,36
2019milak_qm17,red,frc503,frc5256,frc7811,31,36,0,12,5,2,2,2,2,0,2,2,3,0,0,0,3,3,0,0,0,6,0,5,5,5,10,0,2,2,0,0,2,0,0,2,2,2,2,2,2,3,6,3,0,12,0,19,0,0,0,0,31
2019milak_qm18,blue,frc7209,frc5926,frc5674,45,51,0,15,2,2,2,0,0,5,2,2,3,0,0,0,0,12,3,0,10,15,30,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,20,0,0,0,0,45
2019milak_qm18,red,frc4381,frc5559,frc5676,51,45,0,9,2,2,2,5,5,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,12,5,2,5,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,1,42,0,0,0,0,51
2019milak_qm19,blue,frc6053,frc6580,frc6137,27,46,0,6,2,2,5,2,2,5,2,2,6,0,0,0,3,3,3,0,0,9,0,3,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,1,21,0,0,0,0,27
2019milak_qm19,red,frc4453,frc7911,frc7794,46,27,0,15,2,2,5,0,0,5,5,5,12,0,0,0,3,3,3,0,10,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,21,0,0,0,0,46
2019milak_qm2,blue,frc3658,frc4408,frc6150,35,33,0,12,0,0,0,2,2,2,0,0,0,0,0,0,0,12,3,0,0,15,30,0,5,5,8,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,12,0,23,0,0,0,0,35
2019milak_qm2,red,frc6137,frc4381,frc5256,33,35,0,12,2,5,5,0,0,5,5,0,12,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,21,0,0,0,0,33
2019milak_qm20,blue,frc6425,frc6138,frc6150,27,79,0,15,2,2,2,0,0,5,5,2,6,0,0,0,3,0,3,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,2,12,0,0,0,0,27
2019milak_qm20,red,frc2054,frc1918,frc7203,79,27,0,9,2,2,2,0,5,2,2,2,18,0,0,0,12,6,0,0,20,18,30,5,5,0,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,0,3,9,0,50,0,2,0,5,79
2019milak_qm21,blue,frc3658,frc6556,frc4381,45,14,0,12,5,5,5,5,2,5,5,5,21,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,33,0,0,0,0,45
2019milak_qm21,red,frc5685,frc7811,frc7219,14,45,0,6,2,2,2,0,2,2,2,2,0,0,0,0,3,0,3,0,0,6,0,3,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,8,0,0,0,0,14
2019milak_qm22,blue,frc7209,frc6092,frc6137,27,50,0,9,2,5,5,0,0,5,5,5,15,0,0,0,3,0,0,1,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,18,0,0,0,0,27
2019milak_qm22,red,frc503,frc7144,frc6002,50,27,0,12,2,2,2,0,5,2,2,2,3,0,0,0,3,3,12,0,3,18,30,5,5,5,14,0,0,2,0,2,2,2,0,2,2,2,2,2,2,3,6,3,3,12,0,35,2,0,2,0,50
2019milak_qm23,blue,frc5205,frc4568,frc2054,82,43,0,12,5,5,5,5,0,2,5,5,33,0,0,0,0,3,12,0,10,15,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,12,0,60,5,0,0,0,82
2019milak_qm23,red,frc4327,frc4453,frc4408,43,82,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,1,31,0,0,0,0,43
2019milak_qm24,blue,frc5708,frc5710,frc5501,45,67,0,15,5,5,5,0,0,5,2,2,12,0,0,0,3,3,12,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,30,0,0,0,0,45
2019milak_qm24,red,frc1918,frc6053,frc5676,67,45,0,12,2,2,2,0,5,5,5,5,24,0,0,0,12,0,3,0,0,15,30,5,5,5,16,5,5,5,5,0,2,0,2,2,2,2,2,2,2,3,3,6,3,12,0,55,0,2,0,0,67
2019milak_qm25,blue,frc5256,frc6580,frc4482,67,38,0,15,2,5,5,0,5,5,5,5,24,0,0,0,3,12,3,0,0,18,30,5,5,5,10,0,5,0,5,0,2,0,0,2,2,2,2,2,2,6,3,6,3,15,0,52,0,2,0,0,67
2019milak_qm25,red,frc7911,frc7223,frc5926,38,67,0,9,2,5,5,0,0,5,2,2,9,0,0,0,3,3,12,0,0,18,30,3,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,29,0,0,0,0,38
2019milak_qm26,blue,frc7794,frc6425,frc5227,39,35,0,15,2,2,2,0,0,2,5,5,6,0,0,0,3,0,3,0,10,6,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,14,0,0,0,0,39
2019milak_qm26,red,frc5674,frc5559,frc830,35,39,0,15,2,2,2,0,0,5,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,8,2,0,2,0,0,0,2,0,2,2,2,2,2,2,6,3,6,0,15,1,20,0,0,2,0,35
2019milak_qm27,blue,frc7144,frc3658,frc4327,22,38,0,15,2,2,5,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,7,0,0,0,0,22
2019milak_qm27,red,frc7219,frc5676,frc6092,38,22,0,12,2,2,5,5,5,5,2,5,15,0,0,0,3,0,0,0,0,3,0,5,5,0,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,26,0,0,0,0,38
2019milak_qm28,blue,frc6137,frc5205,frc5926,25,25,0,12,2,2,5,0,0,2,2,2,6,0,0,0,3,0,0,0,0,3,0,5,5,5,4,0,0,5,0,2,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,13,0,0,0,0,25
2019milak_qm28,red,frc5708,frc1918,frc4568,25,25,0,6,2,2,5,0,5,5,5,5,15,0,0,0,0,12,0,0,0,0,0,5,0,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,6,0,19,0,0,0,0,25
2019milak_qm29,blue,frc4482,frc7203,frc6556,44,42,0,9,2,2,2,5,2,2,2,2,3,0,0,0,3,12,3,0,0,18,30,5,3,5,14,0,0,2,2,2,0,2,0,2,2,2,2,2,2,6,3,3,3,9,0,35,2,0,0,0,44
2019milak_qm29,red,frc7794,frc5710,frc7209,42,44,0,15,2,2,5,5,0,5,5,2,12,0,0,0,3,6,0,0,0,9,0,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,27,0,0,0,0,42
2019milak_qm3,blue,frc5710,frc6580,frc503,30,70,0,12,2,5,2,2,2,2,2,2,3,0,0,0,0,0,3,0,0,3,0,5,5,5,12,0,0,0,2,0,2,0,2,2,2,2,2,2,2,6,3,3,0,12,1,18,0,0,0,0,30
2019milak_qm3,red,frc5559,frc4482,frc2054,70,30,0,12,2,5,5,0,0,2,2,2,18,0,0,0,3,3,12,0,10,18,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,12,0,48,2,0,2,0,70
2019milak_qm30,blue,frc4453,frc5674,frc5227,37,22,0,15,2,2,2,0,0,5,5,2,6,0,0,0,3,3,6,0,0,12,0,5,5,5,4,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,2,15,1,22,0,0,0,0,37
2019milak_qm30,red,frc5685,frc5256,frc6425,22,37,0,6,2,2,2,0,0,2,2,5,3,0,0,0,3,6,0,0,10,3,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,6,0,0,0,0,22
2019milak_qm31,blue,frc4381,frc830,frc503,43,63,0,9,5,2,5,5,2,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,10,2,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,3,0,9,0,34,0,0,0,0,43
2019milak_qm31,red,frc6580,frc5501,frc6002,63,43,0,12,5,5,5,0,5,2,2,2,15,0,0,0,6,6,12,0,0,24,30,5,5,5,12,0,0,2,0,2,0,5,0,2,2,2,2,2,2,3,6,3,3,12,0,51,2,0,2,0,63
2019milak_qm32,blue,frc4408,frc2054,frc6138,42,36,0,15,2,2,2,2,0,2,2,2,6,0,0,0,3,12,0,0,0,15,30,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,27,0,0,0,0,42
2019milak_qm32,red,frc5559,frc6053,frc7911,36,42,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,27,0,0,0,0,36
2019milak_qm33,blue,frc6150,frc4453,frc7209,20,42,0,12,2,2,2,0,0,2,2,2,0,0,0,0,3,3,0,0,0,6,0,5,5,3,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,8,0,0,0,0,20
2019milak_qm33,red,frc6556,frc7811,frc7223,42,20,0,9,2,5,5,2,2,5,2,2,9,0,0,0,3,12,3,0,0,18,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,33,0,0,0,0,42
2019milak_qm34,blue,frc4381,frc6002,frc5205,46,27,0,9,2,2,2,0,0,5,2,5,12,0,0,0,3,12,0,0,0,15,30,5,5,5,10,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,3,3,3,9,0,37,0,0,0,2,46
2019milak_qm34,red,frc7144,frc7794,frc4482,27,46,0,15,2,2,2,0,2,2,2,2,0,0,0,0,0,3,3,0,0,6,0,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,12,0,0,0,0,27
2019milak_qm35,blue,frc6092,frc7911,frc503,65,37,0,12,5,5,5,0,0,5,5,5,21,0,0,0,3,3,12,0,6,18,30,5,5,5,8,0,2,0,5,0,2,0,2,2,2,2,2,2,2,3,6,3,3,12,0,47,0,0,0,0,65
2019milak_qm35,red,frc5926,frc6138,frc5227,37,65,0,15,2,2,2,2,2,2,2,2,0,0,0,0,3,3,6,2,0,12,0,5,5,5,10,2,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,22,2,0,0,0,37
2019milak_qm36,blue,frc5256,frc4568,frc5559,48,44,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,36,0,0,0,0,48
2019milak_qm36,red,frc5676,frc6425,frc3658,44,48,0,15,5,5,5,2,5,2,2,2,18,0,0,0,0,3,0,0,0,3,0,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,29,0,0,0,0,44
2019milak_qm37,blue,frc6137,frc7223,frc5708,21,21,0,6,2,5,5,0,0,5,2,2,9,0,0,0,0,3,3,0,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,6,0,15,0,0,0,0,21
2019milak_qm37,red,frc5710,frc4327,frc5674,21,21,0,9,2,2,2,0,0,5,5,2,6,0,0,0,3,0,3,0,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,12,0,0,0,0,21
2019milak_qm38,blue,frc5685,frc1918,frc4408,46,21,0,9,2,2,2,0,5,5,2,2,6,0,0,0,3,12,3,0,9,18,30,5,5,5,4,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,3,9,0,28,0,0,0,0,46
2019milak_qm38,red,frc830,frc7219,frc6580,21,46,0,15,2,2,5,0,0,2,2,2,3,0,0,0,3,0,0,3,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,6,0,0,0,0,21
2019milak_qm39,blue,frc7811,frc6150,frc7203,24,54,0,12,2,5,5,0,0,5,0,0,9,0,0,0,0,3,0,2,0,3,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,12,0,0,0,0,24
2019milak_qm39,red,frc6053,frc5501,frc2054,54,24,0,12,2,2,5,0,0,2,2,0,12,0,0,0,3,6,12,0,6,18,30,0,5,5,6,0,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,3,12,0,36,0,0,0,0,54
2019milak_qm4,blue,frc6425,frc5926,frc6002,44,42,0,12,2,2,2,0,0,5,2,2,6,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,0,0,0,0,2,0,5,2,2,2,2,2,2,3,6,3,3,12,0,32,0,2,0,2,44
2019milak_qm4,red,frc7794,frc7203,frc5205,42,44,0,9,2,2,2,0,2,5,5,5,15,0,0,0,0,0,12,0,0,12,0,5,3,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,33,0,0,0,0,42
2019milak_qm40,blue,frc6556,frc503,frc7794,51,55,0,9,2,2,5,5,5,5,2,2,12,0,0,0,3,12,3,0,0,18,30,5,5,5,12,2,0,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,42,0,0,0,0,51
2019milak_qm40,red,frc4381,frc7223,frc4568,55,51,0,9,5,5,5,0,0,5,5,5,24,0,0,0,12,3,3,0,0,18,30,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,46,0,0,0,0,55
2019milak_qm41,blue,frc5676,frc5205,frc7911,91,24,0,15,5,5,5,5,5,5,5,5,39,0,0,0,3,12,3,0,3,18,30,5,5,5,16,5,0,5,0,2,0,5,0,2,2,2,2,2,2,3,6,6,3,15,0,73,5,0,5,0,91
2019milak_qm41,red,frc830,frc3658,frc6137,24,91,0,15,2,5,0,0,0,0,2,2,3,0,0,0,0,3,3,1,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,9,0,0,0,0,24
2019milak_qm42,blue,frc6002,frc5708,frc6053,23,21,0,3,2,2,5,0,0,2,2,2,3,0,0,0,12,0,3,0,0,15,30,5,3,3,2,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,3,3,0,20,0,0,0,0,23
2019milak_qm42,red,frc6425,frc7209,frc7144,21,23,0,9,2,2,2,0,0,5,2,2,3,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,12,0,0,0,0,21
2019milak_qm43,blue,frc7811,frc5559,frc4408,39,21,0,12,5,5,5,0,0,5,5,2,15,0,0,0,3,3,0,0,6,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,21,0,0,0,0,39
2019milak_qm43,red,frc5256,frc4327,frc7203,21,39,0,3,5,5,5,0,0,5,5,2,15,0,0,0,3,0,0,2,0,3,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,18,0,0,0,0,21
2019milak_qm44,blue,frc5227,frc2054,frc7219,43,44,0,9,2,2,2,0,0,0,0,0,6,0,0,0,6,12,0,2,0,18,30,3,5,5,10,5,0,5,0,2,0,2,0,2,2,2,2,2,2,6,6,3,1,9,0,34,2,0,0,0,43
2019milak_qm44,red,frc5501,frc6150,frc5926,44,43,0,9,2,2,5,0,5,5,5,2,12,0,0,0,12,0,3,0,6,15,30,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,9,0,29,0,0,0,0,44
2019milak_qm45,blue,frc4482,frc1918,frc5710,56,26,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,12,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,41,0,0,0,0,56
2019milak_qm45,red,frc4453,frc5685,frc6092,26,56,0,9,2,5,5,5,0,2,2,2,9,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,17,0,0,0,0,26
