MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019cadm_qm3,red,frc5199,frc585,frc3256,9,35,0,3,2,0,5,0,0,5,0,2,6,0,0,0,0,6,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,3,0,6,0,0,0,0,9
2019cadm_qm30,blue,frc1661,frc5199,frc8,41,24,0,12,5,5,5,2,5,5,2,2,15,0,0,0,0,3,3,0,0,6,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,29,0,0,0,0,41
2019cadm_qm30,red,frc6402,frc3341,frc5474,24,41,0,12,5,5,5,0,0,2,2,2,9,0,0,0,0,3,0,0,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,12,0,0,0,0,24
2019cadm_qm31,blue,frc5526,frc2102,frc2543,35,41,0,9,5,5,2,0,5,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,26,0,0,0,0,35
2019cadm_qm31,red,frc399,frc7137,frc5137,41,35,0,15,5,5,5,5,0,5,5,5,21,0,0,0,0,0,3,0,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,26,0,0,0,0,41
2019cadm_qm32,blue,frc114,frc6948,frc5025,71,47,0,9,5,5,5,5,5,5,5,5,36,0,0,0,3,6,3,0,0,12,0,5,5,5,14,2,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,2,9,0,62,0,0,0,0,71
2019cadm_qm32,red,frc5059,frc6918,frc3255,47,71,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,12,0,0,18,30,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,38,0,0,0,0,47
2019cadm_qm33,blue,frc4984,frc3341,frc2576,57,44,0,12,2,5,5,0,5,5,2,2,24,30,0,0,0,3,3,0,3,6,0,5,5,5,12,5,5,5,5,0,0,0,2,2,2,2,2,2,2,3,3,6,3,12,0,42,0,0,0,0,57
2019cadm_qm33,red,frc6560,frc7426,frc3328,44,57,0,9,5,5,5,0,0,5,2,2,21,0,0,0,3,0,3,1,0,6,0,5,5,5,8,5,0,5,0,5,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,35,0,0,0,0,44
2019cadm_qm34,blue,frc3647,frc4415,frc3021,67,68,0,9,5,5,5,5,5,5,5,5,27,0,0,0,3,12,6,0,0,21,30,5,5,3,10,2,0,5,2,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,58,0,0,0,0,67
2019cadm_qm34,red,frc4414,frc192,frc1159,68,67,0,12,5,5,5,0,0,5,5,5,30,0,0,0,12,3,3,0,0,18,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,56,0,5,0,5,68
2019cadm_qm35,blue,frc585,frc2984,frc4738,23,54,0,15,0,0,2,2,0,2,0,0,0,0,0,0,0,0,3,0,3,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,5,0,0,0,0,23
2019cadm_qm35,red,frc359,frc2945,frc3256,54,23,0,9,5,5,5,5,5,5,5,5,27,0,0,0,12,0,0,1,0,12,0,5,5,5,6,0,0,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,45,0,0,0,0,54
2019cadm_qm36,blue,frc3341,frc1661,frc6948,40,43,0,6,5,5,5,5,0,5,5,5,21,0,0,0,3,0,6,0,0,9,0,5,0,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,34,0,0,0,0,40
2019cadm_qm36,red,frc5137,frc4415,frc3328,43,40,0,12,5,5,5,0,5,5,5,5,21,0,0,0,0,3,3,0,0,6,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,31,0,0,0,0,43
2019cadm_qm37,blue,frc2576,frc7426,frc2102,75,36,0,15,5,5,5,5,0,2,2,5,27,0,0,0,3,3,12,0,3,18,30,5,5,5,12,5,0,5,0,2,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,57,5,0,5,0,75
2019cadm_qm37,red,frc2945,frc5526,frc7137,36,75,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,0,0,1,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,21,0,0,0,0,36
2019cadm_qm38,blue,frc4984,frc4738,frc5474,35,24,0,15,2,2,2,0,5,5,5,2,9,0,0,0,0,3,3,0,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,17,0,0,0,0,35
2019cadm_qm38,red,frc2543,frc6918,frc3021,24,35,0,6,5,2,5,0,0,5,5,2,12,0,0,0,3,3,0,1,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,18,0,0,0,0,24
2019cadm_qm39,blue,frc4414,frc8,frc585,46,25,0,15,2,0,0,0,0,2,2,2,12,0,0,0,0,3,3,0,3,6,0,5,5,5,10,2,0,5,0,0,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,28,5,0,5,0,46
2019cadm_qm39,red,frc6402,frc3256,frc5059,25,46,0,3,2,2,5,0,0,5,2,5,12,0,0,0,3,3,3,1,0,6,0,5,0,3,4,0,0,0,0,5,0,2,0,2,2,2,2,2,2,3,3,3,0,3,0,22,0,0,0,0,25
2019cadm_qm4,blue,frc359,frc3255,frc4738,44,29,0,9,2,0,5,0,0,5,0,2,9,0,0,0,12,0,0,0,6,12,0,3,5,5,8,0,0,0,2,2,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,29,5,0,2,0,44
2019cadm_qm4,red,frc4415,frc7137,frc3341,29,44,0,9,5,5,5,0,0,5,2,5,15,0,0,0,3,0,0,2,0,3,0,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,20,0,0,0,0,29
2019cadm_qm40,blue,frc192,frc5199,frc399,35,58,0,12,2,5,2,0,2,5,5,5,12,0,0,0,3,0,3,0,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,20,0,0,0,0,35
2019cadm_qm40,red,frc114,frc359,frc1159,58,35,0,9,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,1,0,9,0,5,5,5,10,0,5,5,0,0,0,2,0,2,2,2,2,2,2,3,3,3,2,9,0,49,0,0,0,0,58
2019cadm_qm41,blue,frc5025,frc3647,frc4738,42,39,0,15,2,2,5,5,0,2,2,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,27,0,0,0,0,42
2019cadm_qm41,red,frc2984,frc6560,frc3255,39,42,0,9,2,5,5,0,0,5,2,2,9,0,0,0,6,3,12,0,0,21,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,30,0,0,0,0,39
2019cadm_qm42,blue,frc4414,frc6948,frc4415,70,42,0,12,5,5,5,5,0,2,5,2,24,0,0,0,3,6,12,2,3,21,30,5,5,5,10,2,0,0,0,5,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,55,5,0,5,0,70
2019cadm_qm42,red,frc7426,frc5474,frc585,42,70,0,15,5,5,5,0,0,2,5,2,12,0,0,0,3,3,3,1,6,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,21,0,0,0,0,42
2019cadm_qm43,blue,frc3328,frc7137,frc2543,27,36,0,12,5,5,2,0,0,2,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,15,0,0,0,0,27
2019cadm_qm43,red,frc6560,frc3021,frc3256,36,27,0,6,5,5,5,0,0,5,5,2,15,0,0,0,12,6,3,0,0,15,30,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,6,0,30,0,0,0,0,36
2019cadm_qm44,blue,frc3255,frc1159,frc399,48,63,0,12,2,2,5,2,0,5,5,5,12,0,0,0,12,3,3,1,0,18,30,5,5,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,6,1,12,0,36,0,0,0,0,48
2019cadm_qm44,red,frc3341,frc5137,frc359,63,48,0,12,5,5,5,5,5,5,5,2,21,0,0,0,3,6,12,0,3,21,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,48,0,0,0,0,63
2019cadm_qm45,blue,frc5059,frc3647,frc1661,56,48,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,3,9,0,3,5,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,41,0,0,0,0,56
2019cadm_qm45,red,frc2984,frc4984,frc5526,48,56,0,9,2,2,5,5,5,5,5,5,18,0,0,0,12,3,0,1,0,15,30,3,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,39,0,0,0,0,48
2019cadm_qm46,blue,frc192,frc2102,frc6918,59,54,0,9,2,5,5,5,5,5,5,5,21,0,0,0,3,12,3,1,3,18,30,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,47,0,0,0,0,59
2019cadm_qm46,red,frc6402,frc2576,frc5199,54,59,0,12,5,5,5,0,0,5,5,5,24,0,0,0,3,3,3,1,3,9,0,5,5,5,6,0,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,39,0,0,0,0,54
2019cadm_qm47,blue,frc114,frc2945,frc7426,47,56,0,12,2,2,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,2,2,5,0,0,0,5,2,2,2,2,2,2,6,3,3,0,12,0,35,0,0,0,0,47
2019cadm_qm47,red,frc5025,frc8,frc359,56,47,0,12,2,2,5,2,5,5,2,5,18,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,5,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,44,0,0,0,0,56
2019cadm_qm48,blue,frc5199,frc5137,frc4414,56,39,0,12,2,2,2,2,0,5,5,5,12,30,0,0,0,6,3,0,9,9,0,0,5,5,14,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,6,6,3,12,0,35,0,5,0,2,56
2019cadm_qm48,red,frc7137,frc6918,frc4984,39,56,0,6,5,2,5,0,5,5,5,5,24,0,0,0,0,0,3,3,0,3,0,3,5,5,6,0,0,5,0,0,0,5,0,2,2,2,2,2,2,3,3,3,0,6,0,33,0,0,0,0,39
2019cadm_qm49,blue,frc5474,frc3255,frc3647,67,52,0,12,5,5,5,5,5,5,5,5,30,0,0,0,3,0,3,1,9,6,0,5,0,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,2,12,0,46,0,0,0,0,67
2019cadm_qm49,red,frc2945,frc2576,frc585,52,67,0,15,5,5,5,5,2,5,5,5,21,0,0,0,3,3,3,3,3,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,34,0,0,0,0,52
2019cadm_qm5,blue,frc6918,frc6402,frc4414,32,33,0,6,5,5,5,0,0,5,2,2,12,0,0,0,0,0,3,0,3,3,0,3,5,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,3,0,6,0,23,0,2,0,2,32
2019cadm_qm5,red,frc5526,frc3328,frc8,33,32,0,15,5,5,5,0,2,0,0,2,9,0,0,0,0,0,3,1,0,3,0,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,18,0,0,0,0,33
2019cadm_qm50,blue,frc3021,frc6402,frc3328,33,43,0,6,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,0,3,6,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,24,0,0,0,0,33
2019cadm_qm50,red,frc5059,frc114,frc4738,43,33,0,9,2,5,5,0,0,5,2,2,15,0,0,0,3,3,3,1,0,9,0,3,5,5,10,5,2,5,2,0,0,2,0,2,2,2,2,2,2,3,3,6,2,9,0,34,0,0,0,0,43
2019cadm_qm51,blue,frc2543,frc399,frc3256,48,39,0,12,5,5,5,0,0,5,5,5,18,0,0,0,12,3,3,1,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,36,0,0,0,0,48
2019cadm_qm51,red,frc1661,frc6560,frc192,39,48,0,12,2,5,2,0,0,2,5,2,6,0,0,0,3,12,3,0,3,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,24,0,0,0,0,39
