MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ncwak_qm1,blue,frc7029,frc4828,frc2642,11,37,0,0,0,5,0,0,0,0,2,0,3,0,0,0,0,3,3,0,0,6,0,3,3,3,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,0,0,11,0,0,0,0,11
2019ncwak_qm1,red,frc6565,frc5607,frc5190,37,11,0,6,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,3,5,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,31,0,0,0,0,37
2019ncwak_qm10,blue,frc6502,frc7463,frc7739,5,18,0,3,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,5,3,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,2,0,0,0,0,5
2019ncwak_qm10,red,frc900,frc5919,frc3459,18,5,0,6,2,2,2,0,5,2,2,2,3,0,0,0,0,0,0,0,3,0,0,5,5,3,6,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,2,6,0,9,0,0,0,0,18
2019ncwak_qm11,blue,frc2682,frc5607,frc4561,56,21,0,15,5,5,5,5,0,5,2,5,18,0,0,0,3,3,3,0,6,9,0,5,5,5,8,2,0,0,0,2,0,2,0,2,2,2,2,2,2,3,6,6,2,15,0,35,0,0,0,0,56
2019ncwak_qm11,red,frc6908,frc7029,frc4816,21,56,0,3,5,5,5,0,0,5,5,5,18,0,0,0,0,3,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,3,0,18,0,0,0,0,21
2019ncwak_qm12,blue,frc6215,frc4291,frc5160,8,49,0,6,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,5,5,0,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,0,0,6,0,2,0,0,0,0,8
2019ncwak_qm12,red,frc3229,frc6240,frc2642,49,8,0,12,5,5,5,5,2,5,5,5,21,0,0,0,3,0,3,0,6,6,0,5,0,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,6,2,12,0,31,0,0,0,0,49
2019ncwak_qm13,blue,frc7739,frc5919,frc4828,8,32,0,3,2,2,2,0,0,2,2,2,0,0,0,0,0,0,3,1,0,3,0,3,5,3,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,5,0,0,0,0,8
2019ncwak_qm13,red,frc5518,frc7671,frc7675,32,8,0,6,2,2,5,0,5,5,5,2,12,0,0,0,3,3,3,0,3,9,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,23,0,0,0,0,32
2019ncwak_qm14,blue,frc3737,frc6565,frc6502,30,39,0,9,2,2,5,0,5,2,2,2,6,0,0,0,3,3,3,3,0,9,0,5,5,5,6,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,21,0,0,0,0,30
2019ncwak_qm14,red,frc3459,frc5762,frc3336,39,30,0,3,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,9,9,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,3,0,27,0,0,0,0,39
2019ncwak_qm15,blue,frc7463,frc3796,frc7715,15,27,0,0,2,2,2,0,0,2,2,2,0,0,0,0,3,0,0,0,12,3,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,0,0,3,0,0,0,0,15
2019ncwak_qm15,red,frc6215,frc7029,frc4561,27,15,0,12,2,2,2,0,0,5,5,5,9,0,0,0,0,3,3,4,0,6,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,12,0,15,0,0,0,0,27
2019ncwak_qm16,blue,frc4291,frc2642,frc2059,46,49,0,12,5,5,5,5,5,5,5,5,24,0,0,0,0,0,0,1,6,0,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,28,0,0,0,0,46
2019ncwak_qm16,red,frc5160,frc6426,frc2682,49,46,0,15,0,2,0,2,5,0,5,0,12,0,0,0,3,3,3,2,3,9,0,5,5,5,10,0,0,0,2,5,0,5,0,2,2,2,2,2,2,3,6,6,2,15,0,31,0,0,0,0,49
2019ncwak_qm17,blue,frc3229,frc4816,frc7763,34,28,0,9,2,5,5,5,2,5,5,5,18,0,0,0,0,0,3,0,0,3,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,9,0,25,0,0,0,0,34
2019ncwak_qm17,red,frc5511,frc6332,frc6240,28,34,0,3,2,2,2,5,2,2,2,2,3,0,0,0,12,0,0,0,0,12,0,5,3,3,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,0,0,3,0,25,0,0,0,0,28
2019ncwak_qm18,blue,frc5607,frc900,frc435,27,41,0,9,2,2,5,5,0,2,2,2,6,0,0,0,3,0,3,0,0,6,0,5,5,3,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,18,0,0,0,0,27
2019ncwak_qm18,red,frc6908,frc6500,frc5190,41,27,0,9,2,5,5,2,0,5,2,2,18,0,0,0,3,0,3,0,0,6,0,5,5,5,8,0,0,0,0,0,0,5,0,2,2,2,2,2,2,3,3,3,2,9,0,32,5,0,5,0,41
2019ncwak_qm19,blue,frc4291,frc2682,frc7671,31,21,0,12,2,2,5,0,2,2,2,2,3,0,0,0,3,3,3,0,3,9,0,5,5,5,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,6,3,2,12,0,16,0,0,0,0,31
2019ncwak_qm19,red,frc7739,frc6426,frc6565,21,31,0,12,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,1,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,9,0,0,0,0,21
2019ncwak_qm2,blue,frc6426,frc7715,frc3459,13,6,0,6,2,0,0,2,2,0,0,2,0,0,0,0,0,0,3,1,0,3,0,5,0,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,3,2,6,0,7,0,0,0,0,13
2019ncwak_qm2,red,frc3796,frc4816,frc5919,6,13,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,3,0,3,0,0,0,0,0,0,6
2019ncwak_qm20,blue,frc4561,frc2642,frc5518,46,21,0,15,2,2,2,0,2,5,5,5,12,0,0,0,3,3,3,1,0,9,0,5,5,5,10,5,0,2,2,2,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,31,0,0,0,0,46
2019ncwak_qm20,red,frc3459,frc7675,frc4816,21,46,0,6,2,5,0,0,0,5,2,2,6,0,0,0,3,3,3,0,3,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,12,0,0,0,0,21
2019ncwak_qm21,blue,frc5160,frc6908,frc5762,31,18,0,9,5,5,5,2,0,5,0,0,12,0,0,0,3,0,3,1,0,6,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,22,0,0,0,0,31
2019ncwak_qm21,red,frc5919,frc6332,frc3737,18,31,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,0,0,0,3,3,0,5,3,5,6,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,9,0,0,0,0,18
2019ncwak_qm22,blue,frc3796,frc900,frc3336,31,3,0,6,5,5,5,2,5,2,2,2,12,0,0,0,3,3,3,0,0,9,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,6,0,25,0,0,0,0,31
2019ncwak_qm22,red,frc7463,frc6215,frc6240,3,31,0,0,2,2,2,0,0,2,2,2,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,0,0,0,0,3,0,0,0,0,3
2019ncwak_qm23,blue,frc3229,frc7715,frc5511,47,27,0,9,2,2,2,5,0,5,5,5,12,0,0,0,3,0,12,0,9,15,30,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,29,0,0,0,0,47
2019ncwak_qm23,red,frc4828,frc6500,frc5607,27,47,0,6,5,5,5,0,0,2,5,5,15,0,0,0,0,3,3,3,0,6,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,21,0,0,0,0,27
2019ncwak_qm24,blue,frc435,frc7029,frc7763,18,31,0,3,2,2,5,0,0,5,5,2,9,0,0,0,3,0,3,1,0,6,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,15,0,0,0,0,18
2019ncwak_qm24,red,frc2059,frc5190,frc6502,31,18,0,9,5,5,5,0,5,5,2,2,15,0,0,0,0,0,0,0,3,0,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,19,0,0,2,0,31
2019ncwak_qm25,blue,frc6565,frc7675,frc6908,48,47,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,24,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,1,9,0,0,0,0,48
2019ncwak_qm25,red,frc5762,frc3796,frc2642,47,48,0,12,2,2,5,0,0,5,5,5,18,0,0,0,3,0,0,8,10,3,0,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,25,0,0,0,0,47
2019ncwak_qm26,blue,frc5518,frc4828,frc6426,46,64,0,9,2,5,2,0,0,2,2,2,3,0,0,0,3,12,0,12,13,15,30,5,3,5,6,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,24,2,0,0,0,46
2019ncwak_qm26,red,frc900,frc3737,frc4291,64,46,0,9,2,2,2,2,5,2,2,2,3,0,0,0,0,3,3,1,36,6,0,5,5,5,10,2,2,0,0,0,0,2,0,2,2,2,2,2,2,3,3,3,2,9,1,19,0,0,0,0,64
2019ncwak_qm27,blue,frc5190,frc7763,frc7739,47,57,0,6,5,5,5,5,5,5,5,5,24,0,0,0,3,3,0,0,3,6,0,5,5,3,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,38,0,0,0,2,47
2019ncwak_qm27,red,frc5511,frc4561,frc5919,57,47,0,12,5,5,5,5,5,5,5,5,24,0,0,0,12,3,0,1,0,15,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,45,0,0,0,0,57
2019ncwak_qm28,blue,frc2059,frc6240,frc3459,15,32,0,6,2,2,2,0,0,2,2,2,0,0,0,0,6,0,3,0,0,9,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,9,0,0,0,0,15
2019ncwak_qm28,red,frc6502,frc3336,frc5607,32,15,0,9,5,2,2,5,0,2,5,5,12,0,0,0,3,3,3,0,0,9,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,23,0,0,0,0,32
2019ncwak_qm29,blue,frc7671,frc6215,frc4816,21,33,0,6,2,2,2,0,0,5,5,5,9,0,0,0,3,3,0,5,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,15,0,0,0,0,21
2019ncwak_qm29,red,frc435,frc7463,frc5160,33,21,0,6,2,2,2,0,2,2,2,0,0,0,0,0,0,3,3,0,15,6,0,5,3,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,12,0,0,0,0,33
2019ncwak_qm3,blue,frc7463,frc3737,frc6500,14,3,0,6,0,2,2,0,5,2,2,0,3,0,0,0,0,3,0,0,0,3,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,2,6,0,8,0,0,0,0,14
2019ncwak_qm3,red,frc6240,frc7739,frc435,3,14,0,3,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,0,3,0,0,0,0,0,0,3
2019ncwak_qm30,blue,frc7029,frc3229,frc6500,50,26,0,12,5,5,5,5,5,5,2,5,21,0,0,0,0,3,0,1,10,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,28,0,0,0,0,50
2019ncwak_qm30,red,frc6332,frc2682,frc7715,26,50,0,3,5,5,5,0,0,5,2,2,12,0,0,0,3,3,0,0,3,6,0,5,3,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,3,1,20,0,0,0,0,26
2019ncwak_qm31,blue,frc5190,frc3796,frc6240,26,16,0,6,5,5,5,0,0,2,2,2,9,0,0,0,3,0,3,1,3,6,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,17,0,0,0,2,26
2019ncwak_qm31,red,frc4291,frc5518,frc7739,16,26,0,6,2,2,2,0,2,2,2,2,0,0,0,0,0,3,0,1,3,3,0,5,5,0,4,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,3,0,0,6,0,7,0,0,0,0,16
2019ncwak_qm32,blue,frc5607,frc5762,frc5511,63,42,0,6,5,5,2,2,5,5,5,5,18,0,0,0,3,3,12,0,13,18,30,3,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,6,0,44,0,0,0,0,63
2019ncwak_qm32,red,frc5160,frc4561,frc900,42,63,0,12,5,5,5,5,0,5,2,2,15,0,0,0,3,3,3,1,0,9,0,5,5,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,3,0,12,1,30,0,0,0,0,42
2019ncwak_qm33,blue,frc6215,frc6500,frc6332,33,24,0,6,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,1,0,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,27,0,0,0,0,33
2019ncwak_qm33,red,frc6426,frc3336,frc5919,24,33,0,9,2,2,5,0,0,2,2,2,3,0,0,0,3,3,3,0,3,9,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,12,0,0,0,0,24
2019ncwak_qm34,blue,frc2642,frc7715,frc435,45,75,0,9,5,5,5,0,0,5,5,5,24,0,0,0,3,0,3,22,0,6,0,5,3,5,6,5,0,5,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,36,0,0,0,0,45
2019ncwak_qm34,red,frc7763,frc7675,frc7463,75,45,0,6,2,0,0,0,0,5,2,2,3,0,0,0,0,0,0,0,66,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,2,6,0,3,0,0,0,0,75
2019ncwak_qm35,blue,frc6908,frc3737,frc7671,33,12,0,9,5,5,5,5,0,0,2,2,12,0,0,0,3,0,0,1,3,3,0,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,21,0,0,0,0,33
2019ncwak_qm35,red,frc3459,frc6502,frc7029,12,33,0,6,2,2,2,0,0,2,2,2,0,0,0,0,0,3,0,1,3,3,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,3,0,0,0,0,12
2019ncwak_qm36,blue,frc4816,frc2682,frc6565,39,46,0,15,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,24,0,0,0,0,39
2019ncwak_qm36,red,frc3229,frc4828,frc2059,46,39,0,9,5,5,5,5,0,2,5,2,15,0,0,0,6,12,0,0,0,18,30,5,3,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,37,0,0,0,0,46
2019ncwak_qm37,blue,frc5518,frc435,frc6332,23,49,0,3,2,2,5,0,0,5,2,2,6,0,0,0,3,3,0,1,0,6,0,3,5,3,8,2,0,0,2,2,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,20,2,0,0,0,23
2019ncwak_qm37,red,frc2642,frc6426,frc5511,49,23,0,3,5,5,5,5,5,2,2,2,18,0,0,0,3,0,12,0,3,15,30,3,0,5,10,5,2,2,0,0,0,0,0,2,2,2,2,2,2,6,0,3,3,3,0,43,0,0,0,0,49
2019ncwak_qm38,blue,frc6240,frc5607,frc4291,9,46,0,9,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,0,0,0,0,0,9
