MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019roe_qm1,blue,frc4965,frc231,frc585,55,51,0,15,2,5,5,0,5,5,5,5,18,30,0,0,3,6,3,1,6,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,34,0,0,0,0,55
2019roe_qm1,red,frc3737,frc972,frc5842,51,55,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,0,3,2,3,3,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,33,0,0,0,0,51
2019roe_qm10,blue,frc6695,frc7425,frc6647,32,62,0,6,2,5,5,0,5,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,26,0,0,0,0,32
2019roe_qm10,red,frc3847,frc6901,frc2655,62,32,0,12,2,5,5,0,2,5,5,5,21,0,0,0,3,0,6,0,0,9,0,5,5,5,20,2,5,5,2,0,2,0,2,2,2,2,2,2,2,6,3,3,2,12,0,50,0,2,0,2,62
2019roe_qm100,blue,frc2557,frc568,frc2907,48,52,0,12,2,2,2,0,0,2,2,2,9,0,0,0,6,3,3,3,3,12,0,5,5,5,12,2,0,5,2,2,0,5,0,2,2,2,2,2,2,3,3,6,0,12,0,33,5,0,0,0,48
2019roe_qm100,red,frc7565,frc2415,frc3737,52,48,0,15,2,0,0,5,2,5,5,2,9,0,0,0,6,3,0,1,9,9,0,5,5,5,10,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,28,0,0,0,0,52
2019roe_qm101,blue,frc7403,frc2898,frc1566,20,79,0,12,2,2,2,5,0,2,2,2,3,0,0,0,0,0,3,1,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,8,0,0,0,0,20
2019roe_qm101,red,frc2655,frc231,frc7459,79,20,0,15,5,5,5,5,5,5,5,5,33,30,0,0,6,3,3,0,3,12,0,5,5,5,16,2,5,5,5,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,61,0,0,0,0,79
2019roe_qm102,blue,frc1533,frc2813,frc4941,30,80,0,9,5,2,2,2,5,2,2,2,6,0,0,0,3,0,0,1,0,3,0,5,5,5,12,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,21,0,0,0,0,30
2019roe_qm102,red,frc148,frc5332,frc6829,80,30,0,15,5,2,5,5,5,5,2,2,33,30,30,0,3,0,6,0,3,9,0,5,5,5,20,5,0,5,2,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,62,5,0,5,0,80
2019roe_qm103,blue,frc3847,frc6803,frc2412,81,91,0,15,5,5,5,5,5,5,5,5,36,0,0,0,3,3,12,0,0,18,30,5,5,5,12,5,5,5,5,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,66,0,0,0,0,81
2019roe_qm103,red,frc1658,frc5411,frc1251,91,81,0,12,5,5,5,5,5,5,5,5,42,0,0,0,6,3,12,0,0,21,30,5,5,5,16,5,5,5,5,0,5,0,5,2,2,2,2,2,2,3,3,6,3,12,0,79,0,0,0,0,91
2019roe_qm104,blue,frc3243,frc7906,frc4639,38,41,0,12,5,5,5,5,5,2,2,2,15,0,0,0,0,0,3,1,0,3,0,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,26,0,0,0,0,38
2019roe_qm104,red,frc5842,frc5550,frc7425,41,38,0,15,5,2,5,0,0,5,5,5,15,30,0,0,3,0,3,0,3,6,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,23,0,0,0,0,41
2019roe_qm105,blue,frc6901,frc5059,frc1369,55,80,0,15,5,5,5,2,5,5,5,2,18,0,0,0,0,3,3,0,0,6,0,5,5,5,16,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,40,0,0,0,0,55
2019roe_qm105,red,frc4005,frc294,frc5427,80,55,0,12,5,5,5,5,5,5,5,5,36,0,0,0,3,12,3,0,0,18,30,5,5,5,14,5,5,5,5,0,0,2,0,2,2,2,2,2,2,3,6,3,3,12,0,68,0,0,0,0,80
2019roe_qm106,blue,frc3737,frc7458,frc3991,72,77,0,9,5,5,5,5,5,5,5,5,27,0,0,0,12,6,3,0,3,21,30,5,5,3,12,2,0,5,0,2,0,2,0,2,2,2,2,2,2,6,3,6,1,9,0,60,0,0,0,0,72
2019roe_qm106,red,frc6364,frc7525,frc2485,77,72,0,15,5,5,5,5,5,5,5,5,36,0,0,0,3,3,0,1,0,6,0,5,5,5,20,5,5,5,5,0,2,0,2,2,2,2,2,2,2,6,3,6,2,15,0,62,0,2,0,0,77
2019roe_qm107,blue,frc1296,frc2642,frc4276,64,71,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,0,6,0,0,9,0,5,5,5,10,5,0,5,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,49,0,0,0,0,64
2019roe_qm107,red,frc7492,frc4965,frc4336,71,64,0,15,5,5,5,0,5,5,5,2,24,0,0,0,12,3,3,0,0,18,30,5,5,5,14,2,0,2,0,5,0,5,0,2,2,2,2,2,2,3,6,6,3,15,0,56,2,0,2,0,71
2019roe_qm108,blue,frc568,frc7498,frc1771,97,80,0,15,5,5,5,5,5,5,5,5,36,0,0,0,3,3,12,1,10,18,30,5,5,5,18,5,5,5,5,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,72,0,0,0,0,97
2019roe_qm108,red,frc4610,frc972,frc6695,80,97,0,15,5,5,5,5,5,5,5,5,36,0,0,0,6,0,0,0,3,6,0,5,5,5,20,5,5,5,5,0,2,2,2,2,2,2,2,2,2,6,6,3,0,15,1,62,0,0,0,0,80
2019roe_qm109,blue,frc231,frc1912,frc3647,73,38,0,15,5,5,2,5,5,5,5,5,30,0,0,0,6,3,3,1,0,12,0,5,5,5,16,2,5,2,5,0,0,0,5,2,2,2,2,2,2,3,6,6,2,15,0,58,0,0,0,2,73
2019roe_qm109,red,frc3366,frc2415,frc3881,38,73,0,15,2,2,5,0,2,5,5,5,12,0,0,0,3,3,0,0,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,20,0,0,0,0,38
2019roe_qm11,blue,frc2415,frc294,frc5332,50,37,0,15,2,2,5,0,5,5,5,5,15,0,0,0,0,12,3,2,3,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,32,0,0,0,0,50
2019roe_qm11,red,frc1296,frc5550,frc7498,37,50,0,12,2,2,2,0,2,0,5,2,3,30,0,0,6,3,3,1,6,12,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,19,0,0,0,0,37
2019roe_qm110,blue,frc2655,frc5190,frc2429,59,56,0,15,2,2,2,0,0,2,5,5,12,0,0,0,3,12,3,0,6,18,30,5,5,5,8,2,5,0,5,0,0,0,2,2,2,2,2,2,2,6,3,6,3,15,0,38,0,0,0,0,59
2019roe_qm110,red,frc6026,frc2907,frc2341,56,59,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,2,0,9,0,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,41,0,0,0,0,56
2019roe_qm111,blue,frc1318,frc6647,frc7565,63,71,0,9,5,5,5,5,0,5,5,2,21,0,0,0,12,3,6,0,0,21,30,5,5,5,12,2,0,5,0,2,2,2,0,2,2,2,2,2,2,3,3,3,1,9,0,54,0,0,0,0,63
2019roe_qm111,red,frc3859,frc1566,frc1410,71,63,0,12,5,5,5,5,5,5,5,5,36,0,0,0,3,3,3,0,0,9,0,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,2,12,0,59,0,0,0,0,71
2019roe_qm112,blue,frc2557,frc6304,frc7906,66,79,0,12,2,2,5,0,0,5,2,2,24,30,30,0,12,0,0,1,0,12,0,5,5,5,18,5,2,5,2,5,0,5,2,2,2,2,2,2,2,3,6,3,1,12,0,54,5,0,5,0,66
2019roe_qm112,red,frc585,frc359,frc3847,79,66,0,15,5,5,5,2,0,2,2,2,27,30,30,0,3,12,3,0,3,18,30,5,5,5,16,5,2,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,4,15,0,61,5,0,5,0,79
2019roe_qm12,blue,frc972,frc2412,frc1410,80,78,0,15,2,5,5,5,5,5,5,5,27,0,0,0,3,3,0,1,20,6,0,5,5,5,12,2,2,5,5,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,45,0,0,0,0,80
2019roe_qm12,red,frc5059,frc1912,frc2557,78,80,0,15,5,2,5,0,0,5,5,5,33,30,30,0,3,0,12,0,3,15,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,2,15,2,60,5,0,5,0,78
2019roe_qm13,blue,frc1369,frc3737,frc7459,69,48,0,15,0,2,2,0,5,5,0,5,15,0,0,0,6,12,3,1,6,21,30,5,5,5,12,0,2,0,2,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,48,0,0,0,0,69
